id,law_id,title,description,geography_iso,sector,legislation_type,visibility_status,frameworks,document_types,keywords,natural_hazards
9354,9354,National Disaster Resilience Strategy,"The National Disaster Resilience Strategy aims to help strengthen the resilience of the country by managing risks and improving emergency response. The Strategy presents the objectives to be pursued to meet those goals, what is expected in respect of a resilient New Zealand, and how to achieve that over the next 10 years. It sets three priorities: risk management, effective response and recovery from emergencies, and enabling, empowering and supporting communities.

The Strategy came into effect on 10 April 2019 and replaces the previous National Civil Defence Emergency Management Strategy. It is set on a 10-year timeframe.",NZL,"",Executive,published,DRM/DRR,Strategy,"Adaptation, Disaster Risk Management",""
9360,9360,Public Sector Sustainability Plan 2017-2020,"The Public Sector Sustainability Plan aims to drive efforts to make Singapore more sustainable. The Public Service employs 145.000 public officers, and in 2015 accounted for an average of 4% of the country's total electricity consumption and 3% of total water consumption.

In this context, this plan outlines the public sector's efforts to use resources wisely and build up the Government's capabilities in environmental and urban sustainability. It showcases the green initiatives and projects that Government agencies have embarked on, such as procuring green office supplies and appliances, and installing digesters to recycle food waste in schools.",SGP,"Urban,Waste,Water",Executive,published,,Plan,"Energy Demand, Institutions / Administrative arrangements, Waste, Water management",""
9362,9362,Second National Climate Change Adaptation Measures (2016-2020),"The National Climate Change Adaptation Measures involves 87 major projects across 10 sectors: public health, disaster management and infrastructure, agriculture, forestry, marine and fisheries, water, eco-system, climate change monitoring and projection, adaptation business and industry, and publication, education and international cooperation.",KOR,"Agriculture,Health,Industry,LULUCF,Transportation,Water",Executive,published,,Plan,Adaptation,""
9344,9344,Climate Change Policy of Morocco,"The Climate Change Policy of Morocco materializes Morocco's response to the Cancun Agreements. It is a tool for coordinating the various measures and initiatives initiated for the fight against climate change and is intended as a structuring, dynamic, participatory and flexible political instrument for low carbon development and resilient to the effects of climate change.",MAR,Transportation,Executive,published,"mitigation, adaptation",Policy,"Adaptation, Mitigation",""
,,Law on Energy and Climate,,,"",,draft,,,,""
9199,9199,National policy to fight climate change,"This policy aims to reorient Haiti's socio-economic development towards a more low-carbon regime, resilient to adverse climatic conditions attributable to climate change, generating new jobs and contributing to the eradication of poverty and hunger.",HTI,Transportation,Executive,published,"mitigation, adaptation",Policy,Adaptation,""
9209,9209,Tarea Vida plan to face climate change,"The State Plan for confronting climate change, Tarea Vida, was approved in 2017 by the Council of Ministers. Its foresees a programme of progressive investments that will be executed in the short (year 2020), medium (2030), long (2050) and very long (2100) terms. Priority areas have been identified taking into account the preservation of people's lives in the most vulnerable places, food security and tourism development. It also aims to protect the population against floods.",CUB,"Tourism,Water",Executive,published,Adaptation,Plan; Programme,"Adaptation, Disaster Risk Management",""
9173,9173,Law No. 82 D/2014 establishing a set of green fiscal rules,"This law creates a series of tax breaks for low emissions vehicles, energy efficient buildings, and sustainable forest management.",PRT,"Residential and Commercial,Energy,LULUCF,Transportation",Legislative,published,,Law,"Buildings, REDD+ and LULUCF, Transportation",""
9171,9171,Law no. 27/2006 on civil protection,"This law outlines the procedures for declaring a state of disaster and issuing disaster alerts in Portugal. It assigns the responsibility for prevention, response, and recovery activities during a disaster declaration to subnational and local governments.

It also establishes the National Civil Protection Commission to implement policy guidelines, approve civil protection emergency plans, facilitate government cooperation, define disaster management standards, mobilise resources in disaster situations, and operate an Integrated System of Protection Operations and Aid.",PRT,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9159,9159,Law No. 93/2001 establishing procedures in order to prevent climatic changes and their effects,"This law establishes the National Observatory on Climate Change to collect information on and research climate change, and report to the legislature. It requires the government to create a comprehensive plan to reduce emissions, adapt to climate change, and raise awareness.",PRT,"",Legislative,published,,Law,"Institutions / Administrative arrangements, Research and development",""
9155,9155,Law No. 39/95-VR on the utilisation of nuclear energy and radiation safety,"This law creates a compensation scheme for loss and damage caused by nuclear energy production, as well as a compensation scheme for job loss or displacement that results from nuclear energy production. It also requires that nuclear energy producers obtain liability insurance. It requires the government to disseminate public information about nuclear energy production and defines the legislature's competencies with respect to nuclear energy production.

It allows the legislature to develop a national nuclear policy, approve a Nuclear Energy Development Program, create regulations on siting, design, and construction of facilities, regulate import and export of nuclear material, and create safety standards.",UKR,Energy,Legislative,published,,Law,Energy Supply,""
9153,9153,Law No. 1370-XIV on licensing in the sphere of the utilisation of nuclear energy,"This law defines the legal principles and framework for nuclear energy production, including by allowing the government to issue licenses for nuclear energy and certify nuclear materials.",UKR,Energy,Legislative,published,,Law,Energy Supply,""
9147,9147,Law No. 2118-VIII on energy efficiency of buildings,"This law requires the government housing and renewable energy agencies to develop guidelines for training on energy efficiency and conservation in buildings, and to develop technical regulations for energy efficiency. It also defines minimum energy efficiency requirements in buildings and creates an energy efficiency certification scheme.",UKR,"Residential and Commercial,Energy",Legislative,published,,Law,"Buildings, Energy Demand",""
9143,9143,Law No. 141-Z on protection of the population and territory against natural and technological disasters,"This law requires the government of Belarus to create and operate an emergency warning and response system, develop standards for emergency management, implement emergency management plans and programs, create reserves of resources for emergency management, and forecast emergency situations.

It also allows the president to define the government's disaster policy and declare a state of emergency during disasters.",BLR,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management",""
9139,9139,Law No. 29-Z on protection of atmospheric air,"This law outlines the general procedures for regulating air pollution in Belarus, including carbon dioxide emissions. Among its many functions, it requires the government to create a unified clean air policy, adopt laws and regulations for clean air, develop and implement scientific programs for clean air, establish restrictions and standards for air pollution, and determine accounting procedures for emissions and air pollution.",BLR,Transportation,Legislative,published,,Law,"Industry, Mitigation",""
9133,9133,Law No. 293-Z on energy saving,"This law requires the president of Belarus to create a comprehensive energy efficiency policy and requires the Council of Ministers to implement that policy, set a target for energy efficiency, define efficiency indicators, approve energy conservation programs, determine procedures for fuel efficiency standards, determine procedures for energy efficiency inspections, and conduct energy audits.",BLR,Energy,Legislative,published,,Law,Energy Demand,""
9111,9111,"Coast Protection Act, 1963","This law regulates the construction of coastal protection works in Ireland. It allows subnational governments to investigate proposals for coastal protection works and requires them to deliberate on proposals. It also requires the Commissioners of Public Works to review proposals that have been approved at the subnational level to determine their feasibility, to approve them, and to develop coastal protection schemes for combating sea-level rise.",IRL,Coastal zones,Legislative,published,,Law,"Adaptation, Disaster Risk Management",""
9107,9107,Civil protection act (Act no. 82 of 12 June 2008),"This law requires the Civil Protection and Security Council in the Ministry of Justice to create a civil protection policy once every three years. It also requires the National Commissioner of Police to handle day-to-day civil protection matters, including disaster response.",ISL,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9101,9101,Law 239 on the integrated rescue system and on the amendment of some laws,"This law establishes an integrated system of emergency response and preparedness in Czechia. It requires local governments to receive and process disaster reports, issue alerts, and mobilize emergency response resources. It also requires line ministries to keep records of sector-specific risks and promote disaster risk management in their sectors. It designates the Ministry of the Interior as the lead organization for coordinating national preparedness and response efforts, and to oversee the implementation of the act.",CZE,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9099,9099,Atomic Law,"This law outlines the overall framework for nuclear energy production in Czechia and defines the competencies of the State Office for Nuclear Safety, including supervising compliance in nuclear facilities, approving licenses, approving emergency response programs, and coordinating national nuclear energy policy.",CZE,Energy,Legislative,published,,Law,"Energy Supply, Institutions / Administrative arrangements",""
9095,9095,Emergency Management Act,"This act defines the purpose and competencies of fire and rescue services in Denmark. To accomplish that task, it outlines the organizational structure and administrative procedures for their role in emergency response activities. It also requires line ministries to create emergency plans for their sectors once every four years, requires subnational governments to create emergency plans, and requires local and subnational governments to establish communication networks.",DNK,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9087,9087,Climate Change and Disaster Survival Fund Act 2015 (No. 11 of 2016),"This law establishes a Climate Change and Disaster Survival Fund to Provide immediate vital services to the people of Tuvalu in combating the devastating impact of climate change and natural disasters, and allows the Government and the people of Tuvalu to respond to future climate change impacts and natural disasters in a coordinated, effective and timely manner. It also establishes a government committee to review requests for assistance and create a national strategy for climate change and natural disasters.",TUV,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9059,9059,Law No. 103 of incentive to import non-conventional energy vehicles,"This law reduces import tariffs on cars that run on alternative fuels, such as hybrid and electric vehicles.",DOM,"Energy,Transportation",Legislative,published,,Law,"Mitigation, Transportation",""
9053,9053,Law No. 147 on Risk Management,"This law outlines the overall framework of disaster risk management in the Dominican Republic. It establishes a National System for Prevention, Mitigation and Disaster Response to coordinate government, private sector, and NGO activities, install and consolidate early warning and alert systems, carry out risk assessments, develop and maintain a database of government efforts to manage risks, disclose information to the public, mainstream risk management into land use plans, identify at-risk areas, create an environmental and risk management policy, design and coordinate sustainable recovery process, develop and update emergency plans, establish protection measures in infrastructure works, promote capacity building in government, incorporate risk management into education curricula, and develop a training system for government staff.",DOM,"Residential and Commercial,LULUCF,Transportation",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
9047,9047,Law No. 6 of 2018 on Forestry,"This act requires the Forestry Ministry to establish local forestry committees, issue regulations for permitting resource extraction from forests, requires the government to undertake reforestation measures after wildfires, allows the government to establish protected forest lands, and requires the Forest Ministry and Tourism Ministry to create a National Ecotourism System.",SYR,"LULUCF,Tourism",Legislative,published,,Law,"Disaster Risk Management, Institutions / Administrative arrangements, REDD+ and LULUCF",""
9045,9045,Law No. 1136-XIV on energy saving,"This act defines the Moldovan government's overall priorities and competencies for energy efficiency. Specifically, it requires the government to define a national energy efficiency policy, approve energy efficiency programs and monitor their implementation, ensure the development, review, and approval of regulations, review and approve financial and economic incentives for energy efficiency, control procedures for organising energy efficiency bodies, and control the use of government funds.

It also requires government to establish an energy efficiency body to develop energy efficiency programs, help implement and monitor them, develop state expertise, cooperate with the private sector, agree on standards and certification for energy efficient products, coordinate scientific research, coordinate training, and coordinate international cooperation.",MDA,Energy,Legislative,published,,Law,Energy Demand,""
9043,9043,Law No. 128 on energy efficiency of buildings,"This act defines the Moldovan government's competencies with respect to energy efficiency in the buildings sector. requires the government to approve national plans and programs to increase energy efficiency in buildings, to create financial incentives for renovating existing buildings, and to promote energy efficiency in new construction. It compels Moldova's construction authority to create and implement national energy efficiency policies for buildings, as well as technical regulations and guidelines for implementing them. It allows Moldova's energy efficiency authority to oversee construction management, as well as to develop and implement a national compliance system. Lastly, it requires local governments to integrate energy efficiency considerations into all of their planning activities.",MDA,"Residential and Commercial,Energy",Legislative,published,,Law,"Buildings, Energy Demand",""
9027,9027,National Disaster Risk Reduction and Management Act 2016 (No. 2 of 2016),"This law creates a National Disaster Risk Reduction and Management Council to formulate a National Disaster Risk Reduction and Management Policy and a National Disaster Risk Reduction and Management Centre to act as the main institution in Mauritius for coordinating and monitoring the implementation of disaster risk management activities. It also requires the government to, through these institutions, create a National Disaster Risk Reduction and Management Strategic Framework and a National Disaster Risk Reduction and Management Plan for implementing concrete disaster risk management measures.",MUS,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
9017,9017,"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters","This act requires the Ministry of Agriculture, Livestock, Fisheries and Food to establish a National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters to prevent and mitigate disasters that affect the agricultural sector. It also outlines government competencies for allocating human and financial resources to disaster response efforts and coordinating disaster response at the subnational and local levels. Moreover, it creates the National Fund for the Mitigation of Agricultural Emergencies and Disasters to finance disaster prevention and response activities.",ARG,Agriculture,Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
9015,9015,"Law No. 27,287 - National System for Integral Risk Management and Civil Protection","This act outlines the overall contours of the National System for Integral Risk Management and Civil Protection to design, propose, and implement disaster risk management policies. It also designates the National Council for Integral Risk Management and Civil Protection as the highest authority for disaster risk management matters in the country. In addition to its regulatory and public policy functions, this act requires the Council to create a National Information Center on Comprehensive Risk Management to promote scientific research and to conduct a public awareness campaign about disaster risk management.

This act also contains specific budgetary provisions, establishing the National Fund for Integral Risk Management to finance prevention activities (funds to come from national budget), and the National Emergency Fund to finance emergency response (funds to come from voluntary contributions of national, subnational, and local governments, donations, income tax, sovereign loans, and any other source assigned to it).",ARG,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
9019,9019,"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",This law creates the Bicameral Commission for the Attention and Monitoring of Natural Disasters caused by Water and/or Climatic Emergencies to propose a regulatory system for water and climate emergencies.,ARG,Water,Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
9007,9007,Law on National Committee to Reduce Destructive Impacts of Natural Disasters,This law requires the National Committee to Reduce Destructive Impacts of Natural Disasters to conduct research on and manage information about disasters. It requires the Minister of the Interior to establish local equivalents and report on research results every six months.,IRN,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Research and development",""
9005,9005,Law on the statute of the Renewable Energy Organization of Iran,"This act creates a state-owned energy company, called the Savannah Energy Organization, to develop renewable energy technology in Iran. It requires the company to conduct research and development of renewable energy technologies, as well as to handle the training, consulting, design, and implementation of sample renewable energy systems, provide technical and economic support to NGOs, and cooperate with other companies.",IRN,Energy,Legislative,published,,Law,"Energy Supply, Institutions / Administrative arrangements, Research and development",""
9003,9003,Law on the statute of the National Disaster Management Organization,"This law outlines the role and responsibilities of Iran's National Disaster Management Organization. It establishes a High Council of Crisis Management to create national policies and programs related to comprehensive crisis management, set a budget for crisis management, take legal action for defining government roles and responsibilities during disasters, promote research and development, and propose necessary legislation. It also establishes a Country Crisis Management Organization to handle the day-to-day functions of disaster management, and establishes a Disaster Management Coordination Council as a stakeholder forum.",IRN,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
8999,8999,Law on Rational and Efficient Electric Energy Use,"This act requires the government to promote research and development of energy efficiency technologies, allows the government to certify energy efficient technologies accordingly, and requires all sectoral planning to include energy efficiency provisions.",VEN,Energy,Legislative,published,,Law,"Energy Demand, Research and development",""
8983,8983,Act LXXIV on disaster protection,"This act requires the government to harmonise education, and research and development activities related to disaster risk management, including against serious accidents related to hazardous materials. It establishes a national disaster protection information system, and make budget proposals for disaster risk management. It gives the government powers to declare a state of emergency when necessary and outlines the procedures for doing so. It also requires all government ministries to create disaster management frameworks for their sectors and requires subnational and local defense committees to plan for and undertake disaster prevention measures. It further designates the General Directorate of National Disaster Protection the head office for disaster management.",HUN,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Research and development",""
8981,8981,Act No. CLXVIII on handling weather-related and other natural risks affecting agricultural production,"This act requires government to establish a risk management system specifically for the agricultural sector. It also establishes a compensation scheme for loss and damage caused by disasters that affect agricultural production, creates an insurance scheme for agricultural producers, funded partially by government subsidies and partially by international aid.",HUN,Agriculture,Legislative,published,,Law,"Adaptation, Disaster Risk Management",""
8979,8979,Act No. CXXVIII concerning disaster management and amending certain related acts,"This act outlines the general framework for disaster risk management in Hungary. It requires the government to establish a national disaster management system, create regulations for disaster risk management, and appropriate funds to disaster risk management activities. It also requires all subnational and local governments to establish disaster management committees to oversee local policy development and implementation.",HUN,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
8977,8977,Act No. CXVI on atomic energy,"This act provides the general framework for nuclear energy production in Hungary. It requires the government to create a general safety framework, adopt a national policy on waste management every 5 years, establish a National Atomic Energy Authority to monitor nuclear energy production, create a Central Nuclear Financial Fund promote nuclear energy development. It also gives the government broad authority over all aspects of the nuclear energy production process, including siting, designing, construction, licensing, operating, renewing licenses, and decommissioning facilities.",HUN,"Energy,Waste",Legislative,published,,Law,"Energy Supply, Institutions / Administrative arrangements",""
8975,8975,Act No. LVII concerning energy efficiency,"This act requires the government to set an energy efficiency target for 2020, and to create a National Energy Efficiency Action Plan and a National Building Energy Strategy. It also requires the Hungarian Energy and Utility Regulatory Authority to collect data on energy efficiency, record and publish energy efficiency savings, maintain a list of energy auditors, maintain an energy efficiency website, carry out assessments of energy supply sources, classify new energy production facilities based on their efficiency, approve a cost-benefit analysis, and keep a record of costs and expenditures, and outlines minimum energy efficiency standards for government buildings: at least 3% of the total area is subject to energy efficiency renovations annually.",HUN,"Residential and Commercial,Energy,Transportation",Legislative,published,,Law,"Buildings, Energy Demand",""
8973,8973,Law on the Use of Nuclear Energy,"This act outlines the general framework for nuclear energy production in Kazakhstan. It defines government competencies as they relate to nuclear energy, including allowing the government to develop a national policy for nuclear energy production, make decisions on construction of facilities, approve rules for siting, inspecting, and decommissioning plans, approve a national plan for nuclear safety, and create procedures to ensure compliance with the International Atomic Energy Agency.",KAZ,Energy,Legislative,published,,Law,Energy Supply,""
8971,8971,Law providing for legal conditions of disaster management,"This act defines states of emergency in Kazakhstan, as well as the procedures for declaring them. It also clarifies the government's role in disaster risk management during states of emergency and requires the government to compensate individuals for loss and damage caused by disasters.",KAZ,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management",""
8967,8967,Law providing for management of natural and technological disasters,"This act defines the general framework for disaster risk management in Kazakhstan. Its most important provision include requiring the national government and all private organizations to establish disaster risk management and emergency response measures, and defining government competencies related to disaster risk management, including developing policy, regulations, and guidelines.",KAZ,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
8969,8969,Civil Defense Law,"This act defines the general system for civil protection in Kazakhstan. Most importantly, it contains provisions for national and subnational governments to forecast emergency and disaster situations, create response plans, and implement disaster prevention measures. It also defines the different classifications of emergency situations in Kazakhstan, gives the president the power to declare states of emergency and requires all subnational and local governments to establish and operate emergency response systems.",KAZ,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
8959,8959,"Atomic Energy Licensing Act 1984, No. 304","This act establishes the Atomic Energy Licensing Board to advise the government, exercise control over atomic energy production, and foster governmental and non-governmental cooperation. It requires the government to keep a registry of licensed atomic energy producers and regulates the granting, renewal, suspension, and cancellation of licenses. It also defines liability for loss and damage caused by an accident associated with atomic energy.",MYS,Energy,Legislative,published,,Law,"Energy Supply, Institutions / Administrative arrangements",""
8955,8955,Law No. 5902 on the establishment and duties of the Disaster and Emergency Management Authority,"This law represents the overall framework for disaster risk management in Turkey. Its most important functions include requiring the government to establish a High Council on Disaster and Emergency in the office of the Prime Minister, or in a line ministry, in order to create disaster plans, programs, and reports, as well as assigning responsibility for implement emergency response, risk management, and risk assessment to the Department of Planning and Mitigation.",TUR,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
8953,8953,Law No. 6306 on restructuring of areas under risk of natural disasters,"This act requires the Ministry of Environment and Urbanization to publish a map of ""risky areas"" and ""risky structures"" and to define a time window within which building owners must report if their structures are ""risky structures,"" per government regulations. It allows the ministry to suspend all construction and rebuilding in risky areas and defines procedures for demolishing risky structures, including by allowing the government to expropriate property if necessary. It allows the ministry to engage in a building buyout program and to convert space in risky areas to other uses.",TUR,"Residential and Commercial,Energy",Legislative,published,,Law,"Adaptation, Buildings, Disaster Risk Management",""
8951,8951,Law No. 2090 on assistance to farmers who have suffered losses due to natural disasters,"This act establishes a government grant scheme to compensate farmers for loss and damage that occurs because of a disaster. It gives preferential treatment to small and family farms and requires subnational governments to establish damage assessment commissions to appraise the value of assets and assess damages. It also establishes a Disaster Department in the Ministry of Food, Agriculture, and Livestock, and requires the ministry to include provisions for funding the grant scheme in its budget requests.",TUR,"",Legislative,published,,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
8949,8949,Law on Turkish Atomic Energy Authority,"This act establishes the Turkey Atomic Energy Agency and requires it to create a national atomic energy plan, conduct research and development related to nuclear energy, and oversee all aspects of atomic energy producing, including licensing and design and construction of facilities. It also requires the agency to collect and manage data and information about atomic energy, as well as to educate and train relevant government staff.",TUR,Energy,Legislative,published,,Law,"Energy Supply, Institutions / Administrative arrangements, Research and development",""
