iso,percent_global_emissions,climate_risk_index,wb_income_group
NGA,1.012293488,104.83,Lower middle income
NIC,0.043436318,53.83,Lower middle income
NIU,0.000126268,,
NLD,0.393494317,71.83,High income
NOR,0.050107496,138.83,High income
NPL,0.128898957,31.5,Low income
NRU,0.000168358,,Upper middle income
NZL,0.132855365,84.17,High income
OMN,0.15989784,41.17,High income
PAK,0.84951252,28.83,Lower middle income
PAN,0.056694496,106.5,High income
PER,0.355340226,58,Upper middle income
PHL,0.314429275,17.67,Lower middle income
PLW,6.31342E-05,,High income
PNG,0.134370586,91.33,Lower middle income
POL,0.736060393,77.17,High income
PRK,0.13794819,,Low income
PRT,0.146029365,38.83,High income
PRY,0.409509355,73.5,Upper middle income
QAT,0.194158657,173.67,High income
ROU,-0.123385238,53.17,Upper middle income
RUS,5.032594074,47.67,Upper middle income
RWA,0.015972948,102,Low income
SAU,1.396486036,102.17,High income
SDN,0.319206429,93,Lower middle income
SEN,0.073635502,129.5,Lower middle income
SGP,0.133107902,172.17,High income
SLB,0.005745211,70,Lower middle income
SLE,0.028599785,85.67,Low income
SLV,0.028368293,42.5,Lower middle income
SOM,0.084705029,,Low income
SRB,0.132287158,,Upper middle income
STP,0.000420895,,Lower middle income
SUR,0.01544683,166,Upper middle income
SVK,0.070562972,108,High income
SVN,0.023128156,54.33,High income
SWE,0.097289776,129.5,High income
SYC,0.002735815,159.5,High income
SYR,0.095500974,,Low income
TCD,0.214593088,100.83,Low income
TGO,0.032345746,149.67,Low income
THA,0.878070215,31,Upper middle income
TJK,0.028031577,58.17,Low income
TKM,0.265521328,,Upper middle income
TON,0.000610297,75.67,Upper middle income
TTO,0.054568979,150.17,High income
TUN,0.082937272,114.33,Lower middle income
TUR,0.83326599,115.17,Upper middle income
TUV,2.10447E-05,113.67,Upper middle income
TZA,0.672294869,114.33,Low income
UGA,0.170609607,69.33,Low income
UKR,0.597081012,88,Lower middle income
URY,0.055936886,88.33,High income
USA,12.27642081,44.17,High income
UZB,0.409677713,162,Lower middle income
VCT,0.000694476,59.83,Upper middle income
VEN,0.736818004,66,Upper middle income
VNM,0.661372655,29.83,Lower middle income
VUT,0.001746712,53.83,Lower middle income
WSM,0.001473131,73.67,Upper middle income
YEM,0.049602423,74.67,Low income
ZAF,1.046743707,77.33,Upper middle income
ZMB,1.0395885,119.67,Lower middle income
ZWE,0.138853113,53.33,Lower middle income
