"Id","Eventable","Eventable type","Event Type","Title","url","date","Description","Comments",
,9143,"Legislation","Last amendment","Last amendment",,"25/12/05",,,
,9111,"Legislation","Last amendment","Last amendment",,"25/12/00",,,
,8981,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,8979,"Legislation","Last amendment","Last amendment",,"25/12/13",,,
,8977,"Legislation","Last amendment","Last amendment",,"25/12/13",,,
,8943,"Legislation","Last amendment","Last amendment",,"25/12/15",,,
,8945,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,8937,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,8927,"Legislation","Last amendment","Last amendment",,"27/12/16",,,
,8929,"Legislation","Last amendment","Last amendment",,"25/12/11",,,
,8925,"Legislation","Last amendment","Last amendment",,"25/12/16",,,
,8921,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,8917,"Legislation","Last amendment","Last amendment",,"27/12/15",,,
,8915,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,8903,"Legislation","Last amendment","Last amendment",,"27/12/13",,,
,8891,"Legislation","Last amendment","Last amendment",,"25/12/19",,,
,8887,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,8889,"Legislation","Last amendment","Last amendment",,"25/12/11",,,
,8791,"Legislation","Last amendment","Last amendment",,"25/12/84",,,
,8797,"Legislation","Last amendment","Last amendment",,"25/12/97",,,
,8799,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,8891,"Legislation","Last amendment","Last amendment",,"25/12/19",,,
,8945,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,8994,"Legislation","Last amendment","Last amendment",,"25/12/09",,,
,9066,"Legislation","Last amendment","Last amendment",,"20/07/17",,,
,9118,"Legislation","Last amendment","Last amendment",,"02/08/16",,,
,9178,"Legislation","Last amendment","Last amendment",,"25/12/01",,,
,9185,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,8783,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,8781,"Legislation","Last amendment","Last amendment",,"23/08/17",,,
,8764,"Legislation","Last amendment","Last amendment",,"03/10/05",,,
,8739,"Legislation","Last amendment","Last amendment",,"05/06/18",,,
,8725,"Legislation","Last amendment","Last amendment",,"03/10/11",,,
,8694,"Legislation","Last amendment","Last amendment",,"23/05/18",,,
,8688,"Legislation","Last amendment","Last amendment",,"19/06/15",,,
,8687,"Legislation","Last amendment","Last amendment",,"11/05/17",,,
,8675,"Legislation","Last amendment","Last amendment",,"25/12/98",,,
,8620,"Legislation","Last amendment","Last amendment",,"09/03/18",,,
,1573,"Legislation","Last amendment","Last amendment",,"30/07/15",,,
,8600,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,8594,"Legislation","Last amendment","Last amendment",,"29/06/18",,,
,8572,"Legislation","Last amendment","Last amendment",,"06/10/17",,,
,8488,"Legislation","Last amendment","Last amendment",,"25/12/15",,,
,8586,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,1513,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,8169,"Legislation","Last amendment","Last amendment",,"25/12/13",,,
,4852,"Legislation","Last amendment","Last amendment",,"25/12/10",,,
,1572,"Legislation","Last amendment","Last amendment",,"11/06/14",,,
,1449,"Legislation","Last amendment","Last amendment",,"13/07/18",,,
,1650,"Legislation","Last amendment","Last amendment",,"24/05/16",,,
,2072,"Legislation","Last amendment","Last amendment",,"08/07/16",,,
,2060,"Legislation","Last amendment","Last amendment",,"01/09/16",,,
,2040,"Legislation","Last amendment","Last amendment",,"29/08/15",,,
,2029,"Legislation","Last amendment","Last amendment",,"01/03/16",,,
,2023,"Legislation","Last amendment","Last amendment",,"01/12/15",,,
,1413,"Legislation","Last amendment","Last amendment",,"30/05/14",,,
,2015,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,2010,"Legislation","Last amendment","Last amendment",,"29/08/19",,,
,2009,"Legislation","Last amendment","Last amendment",,"01/01/15",,,
,2006,"Legislation","Last amendment","Last amendment",,"01/11/13",,,
,2005,"Legislation","Last amendment","Last amendment",,"01/09/15",,,
,1767,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,2005,"Legislation","Last amendment","Last amendment",,"01/09/15",,,
,1741,"Legislation","Last amendment","Last amendment",,"19/06/12",,,
,1668,"Legislation","Last amendment","Last amendment",,"20/12/14",,,
,1656,"Legislation","Last amendment","Last amendment",,"01/04/10",,,
,1657,"Legislation","Last amendment","Last amendment",,"20/05/14",,,
,1655,"Legislation","Last amendment","Last amendment",,"01/07/11",,,
,1653,"Legislation","Last amendment","Last amendment",,"01/07/11",,,
,1654,"Legislation","Last amendment","Last amendment",,"01/05/11",,,
,1652,"Legislation","Last amendment","Last amendment",,"01/07/13",,,
,1651,"Legislation","Last amendment","Last amendment",,"01/07/13",,,
,1646,"Legislation","Last amendment","Last amendment",,"01/04/12",,,
,1755,"Legislation","Last amendment","Last amendment",,"26/06/19",,,
,1640,"Legislation","Last amendment","Last amendment",,"01/01/13",,,
,1641,"Legislation","Last amendment","Last amendment",,"01/01/15",,,
,1637,"Legislation","Last amendment","Last amendment",,"01/12/14",,,
,1636,"Legislation","Last amendment","Last amendment",,"02/01/15",,,
,1632,"Legislation","Last amendment","Last amendment",,"01/12/14",,,
,1631,"Legislation","Last amendment","Last amendment",,"01/12/14",,,
,1629,"Legislation","Last amendment","Last amendment",,"01/01/15",,,
,1746,"Legislation","Last amendment","Last amendment",,"19/07/18",,,
,1625,"Legislation","Last amendment","Last amendment",,"01/12/12",,,
,1624,"Legislation","Last amendment","Last amendment",,"14/02/08",,,
,1623,"Legislation","Last amendment","Last amendment",,"01/05/06",,,
,1622,"Legislation","Last amendment","Last amendment",,"01/03/12",,,
,1621,"Legislation","Last amendment","Last amendment",,"31/03/03",,,
,1620,"Legislation","Last amendment","Last amendment",,"31/05/14",,,
,1585,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,1577,"Legislation","Last amendment","Last amendment",,"25/12/16",,,
,1522,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,1521,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,8574,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,2044,"Legislation","Last amendment","Last amendment",,"04/07/19",,,
,1471,"Legislation","Last amendment","Last amendment",,"06/10/16",,,
,1433,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,1251,"Legislation","Last amendment","Last amendment",,"25/12/11",,,
,1431,"Legislation","Last amendment","Last amendment",,"25/04/12",,,
,1502,"Legislation","Last amendment","Last amendment",,"25/12/10",,,
,1422,"Legislation","Last amendment","Last amendment",,"03/12/11",,,
,1416,"Legislation","Last amendment","Last amendment",,"28/11/14",,,
,1415,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,1414,"Legislation","Last amendment","Last amendment",,"13/06/14",,,
,1409,"Legislation","Last amendment","Last amendment",,"18/06/14",,,
,1407,"Legislation","Last amendment","Last amendment",,"25/12/06",,,
,1616,"Legislation","Last amendment","Last amendment",,"25/12/11",,,
,1393,"Legislation","Last amendment","Last amendment",,"29/12/17",,,
,1253,"Legislation","Last amendment","Last amendment",,"25/12/08",,,
,1387,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,1381,"Legislation","Last amendment","Last amendment",,"14/03/11",,,
,1375,"Legislation","Last amendment","Last amendment",,"04/06/12",,,
,1369,"Legislation","Last amendment","Last amendment",,"25/12/13",,,
,1366,"Legislation","Last amendment","Last amendment",,"25/12/13",,,
,1364,"Legislation","Last amendment","Last amendment",,"25/12/12",,,
,2064,"Legislation","Last amendment","Last amendment",,"19/09/14",,,
,2063,"Legislation","Last amendment","Last amendment",,"01/07/15",,,
,2062,"Legislation","Last amendment","Last amendment",,"16/07/15",,,
,1327,"Legislation","Last amendment","Last amendment",,"25/12/10",,,
,1325,"Legislation","Last amendment","Last amendment",,"25/12/07",,,
,1323,"Legislation","Last amendment","Last amendment",,"25/12/16",,,
,1315,"Legislation","Last amendment","Last amendment",,"26/12/09",,,
,1299,"Legislation","Last amendment","Last amendment",,"25/12/17",,,
,1258,"Legislation","Last amendment","Last amendment",,"04/07/13",,,
,1257,"Legislation","Last amendment","Last amendment",,"17/05/12",,,
,1217,"Legislation","Last amendment","Last amendment",,"14/03/18",,,
,1212,"Legislation","Last amendment","Last amendment",,"09/09/15",,,
,1211,"Legislation","Last amendment","Last amendment",,"20/06/19",,,
,1207,"Legislation","Last amendment","Last amendment",,"25/12/18",,,
,1205,"Legislation","Last amendment","Last amendment",,"05/04/14",,,
,1202,"Legislation","Last amendment","Last amendment",,"26/02/14",,,
,8637,"Legislation","Last amended","Last update",,"01/06/16",,,
,1735,"Legislation","Document approved","Last version approved by cabinet",,"24/07/13",,,
,8568,"Legislation","Law amended","Law amended",,"11/01/18",,,
,1016,"Legislation","Law amended","Law amended",,"11/04/18",,,
,8592,"Legislation","Law amended","Law amended",,"01/10/17",,,
,8483,"Legislation","Law amended","Law amended",,"25/12/14",,,
,4851,"Legislation","Law amended","Law amended",,"31/05/13",,,
,4819,"Legislation","Law amended","Law amended",,"13/02/08",,,
,4499,"Legislation","Law amended","Law amended",,"25/12/16",,,
,8599,"Legislation","Law amended","Law amended",,"01/06/17",,,
,8597,"Legislation","Law amended","Law amended",,"23/03/18",,,
,4335,"Legislation","Law amended","Law amended",,"25/12/09",,,
,4335,"Legislation","Law amended","Law amended",,"25/12/10",,,
,4324,"Legislation","Law amended","Law amended",,"10/04/08",,,
,2037,"Legislation","Law amended","Law amended",,"24/07/18",,,
,2073,"Legislation","Law amended","Law amended",,"03/05/16",,,
,1797,"Legislation","Law amended","Law amended",,"10/09/18",,,
,1317,"Legislation","Law amended","Law amended",,"01/12/16",,,
,1764,"Legislation","Law amended","Law amended",,"25/12/05",,,
,1764,"Legislation","Law amended","Law amended",,"25/12/08",,,
,1754,"Legislation","Law amended","Law amended",,"25/12/12",,,
,1754,"Legislation","Law amended","Law amended",,"25/12/14",,,
,1752,"Legislation","Law amended","Law amended",,"25/12/13",,,
,1752,"Legislation","Law amended","Law amended",,"25/12/14",,,
,1750,"Legislation","Law amended","Law amended",,"25/12/12",,,
,1750,"Legislation","Law amended","Law amended",,"25/12/13",,,
,1742,"Legislation","Law amended","Law amended",,"30/06/99",,,
,1742,"Legislation","Law amended","Law amended",,"05/04/05",,,
,1740,"Legislation","Law amended","Law amended",,"25/09/08",,,
,1739,"Legislation","Law amended","Law amended",,"07/10/10",,,
,1739,"Legislation","Law amended","Law amended",,"02/12/10",,,
,1739,"Legislation","Law amended","Law amended",,"23/12/10",,,
,1739,"Legislation","Law amended","Law amended",,"07/07/11",,,
,1737,"Legislation","Law amended","Law amended",,"25/09/08",,,
,1737,"Legislation","Law amended","Law amended",,"20/11/12",,,
,1712,"Legislation","Law amended","Law amended",,"01/06/08",,,
,1292,"Legislation","Law amended","Law amended",,"25/12/13",,,
,1152,"Legislation","Law amended","Law amended",,"25/12/16",,,
,1680,"Legislation","Law amended","Law amended",,"01/01/12",,,
,1678,"Legislation","Law amended","Law amended",,"17/10/14",,,
,1675,"Legislation","Law amended","Law amended",,"03/07/14",,,
,1658,"Legislation","Law amended","Law amended",,"25/12/07",,,
,1658,"Legislation","Law amended","Law amended",,"25/12/11",,,
,1658,"Legislation","Law amended","Law amended",,"01/07/13",,,
,1655,"Legislation","Law amended","Law amended",,"01/04/10",,,
,1639,"Legislation","Law amended","Law amended",,"01/12/14",,,
,1561,"Legislation","Law amended","Law amended",,"20/05/16",,,
,1530,"Legislation","Law amended","Law amended",,"25/12/15",,,
,1254,"Legislation","Law amended","Law amended",,"25/12/08",,,
,1254,"Legislation","Law amended","Law amended",,"25/12/11",,,
,1255,"Legislation","Law amended","Law amended",,"25/12/08",,,
,1255,"Legislation","Law amended","Law amended",,"25/12/09",,,
,1255,"Legislation","Law amended","Law amended",,"25/12/12",,,
,1252,"Legislation","Law amended","Law amended",,"25/12/09",,,
,1252,"Legislation","Law amended","Law amended",,"25/12/11",,,
,1250,"Legislation","Law amended","Law amended",,"17/09/09",,,
,1402,"Legislation","Law amended","Law amended",,"25/12/07",,,
,1219,"Legislation","Law amended","Law amended",,"24/07/03",,,
,1219,"Legislation","Law amended","Law amended",,"29/09/03",,,
,1219,"Legislation","Law amended","Law amended",,"22/10/08",,,
,1218,"Legislation","Law amended","Law amended",,"19/05/10",,,
,1194,"Legislation","Law amended","Law amended",,"25/12/04",,,
,1194,"Legislation","Law amended","Law amended",,"25/12/08",,,
,1671,"Legislation","Law amended","Law amended",,"26/04/17",,,
,1161,"Legislation","Law amended","Law amended",,"25/12/17",,,
,1159,"Legislation","Law amended","Law amended",,"25/12/16",,,
,1158,"Legislation","Law amended","Law amended",,"25/12/18",,,
,1156,"Legislation","Law amended","Law amended",,"25/12/16",,,
,1455,"Legislation","Law amended","Law amended",,"25/12/12",,,
,1455,"Legislation","Law amended","Law amended",,"25/12/13",,,
,1441,"Legislation","Law amended","Law amended",,"01/11/12",,,
,1432,"Legislation","Law amended","Law amended",,"04/07/96",,,
,9344,"Legislation","Law passed","Law passed",,"14/03/19",,,
,9199,"Legislation","Law passed","Law passed",,"08/07/19",,,
,9209,"Legislation","Law passed","Law passed",,"30/04/17",,,
,9173,"Legislation","Law passed","Law passed",,"31/12/14",,,
,9159,"Legislation","Law passed","Law passed",,"20/08/00",,,
,9147,"Legislation","Law passed","Law passed",,"22/06/17",,,
,9139,"Legislation","Law passed","Law passed",,"15/04/97",,,
,9133,"Legislation","Law passed","Law passed",,"08/01/15",,,
,9107,"Legislation","Law passed","Law passed",,"12/06/08",,,
,9101,"Legislation","Law passed","Law passed",,"28/06/00",,,
,9099,"Legislation","Law passed","Law passed",,"25/12/97",,,
,9095,"Legislation","Law passed","Law passed",,"10/06/09",,,
,9087,"Legislation","Law passed","Law passed",,"01/01/16",,,
,9059,"Legislation","Law passed","Law passed",,"02/08/13",,,
,9053,"Legislation","Law passed","Law passed",,"22/09/02",,,
,9047,"Legislation","Law passed","Law passed",,"04/03/18",,,
,9045,"Legislation","Law passed","Law passed",,"13/07/00",,,
,9043,"Legislation","Law passed","Law passed",,"11/07/14",,,
,9027,"Legislation","Law passed","Law passed",,"16/04/16",,,
,9017,"Legislation","Law passed","Law passed",,"25/12/09",,,
,9015,"Legislation","Law passed","Law passed",,"25/12/16",,,
,9019,"Legislation","Law passed","Law passed",,"25/12/99",,,
,9009,"Legislation","Law passed","Law passed",,"25/12/74",,,
,9007,"Legislation","Law passed","Law passed",,"25/12/91",,,
,9005,"Legislation","Law passed","Law passed",,"25/12/03",,,
,9003,"Legislation","Law passed","Law passed",,"25/12/08",,,
,8999,"Legislation","Law passed","Law passed",,"19/12/11",,,
,8983,"Legislation","Law passed","Law passed",,"25/12/99",,,
,8973,"Legislation","Law passed","Law passed",,"14/01/16",,,
,8971,"Legislation","Law passed","Law passed",,"15/10/93",,,
,8967,"Legislation","Law passed","Law passed",,"05/07/96",,,
,8969,"Legislation","Law passed","Law passed",,"07/05/97",,,
,8959,"Legislation","Law passed","Law passed",,"01/02/85",,,
,8955,"Legislation","Law passed","Law passed",,"29/05/09",,,
,8953,"Legislation","Law passed","Law passed",,"31/05/12",,,
,8951,"Legislation","Law passed","Law passed",,"20/06/77",,,
,8949,"Legislation","Law passed","Law passed",,"13/07/82",,,
,9229,"Legislation","Law passed","Law passed",,"23/11/18",,,
,9225,"Legislation","Law passed","Law passed",,"14/09/18",,,
,9219,"Legislation","Law passed","Law passed",,"01/08/19",,,
,9217,"Legislation","Law passed","Law passed",,"25/12/19",,,
,9215,"Legislation","Law passed","Law passed",,"03/06/19",,,
,9213,"Legislation","Law passed","Law passed",,"22/05/19",,,
,9211,"Legislation","Law passed","Law passed",,"09/11/04",,,
,9205,"Legislation","Law passed","Law passed",,"18/02/19",,,
,9203,"Legislation","Law passed","Law passed",,"30/05/19",,,
,9207,"Legislation","Law passed","Law passed",,"01/06/17",,,
,9197,"Legislation","Law passed","Law passed",,"10/07/19",,,
,9195,"Legislation","Law passed","Law passed",,"24/06/19",,,
,9187,"Legislation","Law passed","Law passed",,"05/04/19",,,
,9018,"Legislation","Law passed","Law passed",,"10/06/17",,,
,9191,"Legislation","Law passed","Law passed",,"11/02/19",,,
,9189,"Legislation","Law passed","Law passed",,"29/03/19",,,
,8818,"Legislation","Law passed","Law passed",,"12/11/64",,,
,9193,"Legislation","Law passed","Law passed",,"08/08/19",,,
,9022,"Legislation","Law passed","Law passed",,"22/01/16",,,
,9024,"Legislation","Law passed","Law passed",,"22/01/16",,,
,9146,"Legislation","Law passed","Law passed",,"01/08/17",,,
,8838,"Legislation","Law passed","Law passed",,"01/01/15",,,
,8800,"Legislation","Law passed","Law passed",,"11/02/09",,,
,8982,"Legislation","Law passed","Law passed",,"22/01/18",,,
,8894,"Legislation","Law passed","Law passed",,"29/12/09",,,
,8834,"Legislation","Law passed","Law passed",,"25/12/14",,,
,8795,"Legislation","Law passed","Law passed",,"18/09/48",,,
,8757,"Legislation","Law passed","Law passed",,"21/07/16",,,
,8794,"Legislation","Law passed","Law passed",,"22/11/18",,,
,8792,"Legislation","Law passed","Law passed",,"25/12/16",,,
,8798,"Legislation","Law passed","Law passed",,"15/01/03",,,
,8826,"Legislation","Law passed","Law passed",,"21/05/57",,,
,8842,"Legislation","Law passed","Law passed",,"14/12/15",,,
,8861,"Legislation","Law passed","Law passed",,"09/09/07",,,
,8865,"Legislation","Law passed","Law passed",,"25/12/13",,,
,8878,"Legislation","Law passed","Law passed",,"14/02/18",,,
,8884,"Legislation","Law passed","Law passed",,"03/10/14",,,
,8887,"Legislation","Law passed","Law passed",,"15/08/14",,,
,8888,"Legislation","Law passed","Law passed",,"23/12/09",,,
,8896,"Legislation","Law passed","Law passed",,"14/12/15",,,
,8900,"Legislation","Law passed","Law passed",,"25/12/18",,,
,8902,"Legislation","Law passed","Law passed",,"01/10/12",,,
,8906,"Legislation","Law passed","Law passed",,"26/11/02",,,
,8952,"Legislation","Law passed","Law passed",,"25/12/57",,,
,8954,"Legislation","Law passed","Law passed",,"25/12/60",,,
,9054,"Legislation","Law passed","Law passed",,"25/12/08",,,
,9084,"Legislation","Law passed","Law passed",,"29/12/10",,,
,9226,"Legislation","Law passed","Law passed",,"11/05/99",,,
,9130,"Legislation","Law passed","Law passed",,"02/08/16",,,
,9192,"Legislation","Law passed","Law passed",,"08/10/10",,,
,9208,"Legislation","Law passed","Law passed",,"25/01/13",,,
,9224,"Legislation","Law passed","Law passed",,"25/12/10",,,
,9324,"Legislation","Law passed","Law passed",,"20/11/11",,,
,8916,"Legislation","Law passed","Law passed",,"10/08/16",,,
,8920,"Legislation","Law passed","Law passed",,"07/12/17",,,
,8924,"Legislation","Law passed","Law passed",,"07/07/16",,,
,8930,"Legislation","Law passed","Law passed",,"12/05/03",,,
,8809,"Legislation","Law passed","Law passed",,"11/12/13",,,
,8816,"Legislation","Law passed","Law passed",,"13/05/05",,,
,8832,"Legislation","Law passed","Law passed",,"27/02/13",,,
,8843,"Legislation","Law passed","Law passed",,"03/09/12",,,
,8850,"Legislation","Law passed","Law passed",,"06/02/03",,,
,8863,"Legislation","Law passed","Law passed",,"25/12/16",,,
,8874,"Legislation","Law passed","Law passed",,"11/05/17",,,
,8875,"Legislation","Law passed","Law passed",,"24/01/94",,,
,8887,"Legislation","Law passed","Law passed",,"10/06/19",,,
,8889,"Legislation","Law passed","Law passed",,"17/06/19",,,
,8960,"Legislation","Law passed","Law passed",,"01/09/16",,,
,8980,"Legislation","Law passed","Law passed",,"01/08/08",,,
,8986,"Legislation","Law passed","Law passed",,"29/03/14",,,
,9026,"Legislation","Law passed","Law passed",,"12/11/16",,,
,9028,"Legislation","Law passed","Law passed",,"10/07/15",,,
,9040,"Legislation","Law passed","Law passed",,"05/01/18",,,
,9042,"Legislation","Law passed","Law passed",,"06/10/08",,,
,9050,"Legislation","Law passed","Law passed",,"28/08/08",,,
,9052,"Legislation","Law passed","Law passed",,"12/03/02",,,
,9056,"Legislation","Law passed","Law passed",,"26/07/12",,,
,9058,"Legislation","Law passed","Law passed",,"14/10/16",,,
,9060,"Legislation","Law passed","Law passed",,"14/12/05",,,
,9064,"Legislation","Law passed","Law passed",,"01/07/16",,,
,9068,"Legislation","Law passed","Law passed",,"04/12/17",,,
,9070,"Legislation","Law passed","Law passed",,"01/05/18",,,
,9090,"Legislation","Law passed","Law passed",,"24/02/16",,,
,9094,"Legislation","Law passed","Law passed",,"19/09/14",,,
,9098,"Legislation","Law passed","Law passed",,"16/12/13",,,
,9102,"Legislation","Law passed","Law passed",,"03/11/11",,,
,9110,"Legislation","Law passed","Law passed",,"25/12/17",,,
,9112,"Legislation","Law passed","Law passed",,"22/10/99",,,
,9114,"Legislation","Law passed","Law passed",,"27/09/16",,,
,9120,"Legislation","Law passed","Law passed",,"29/04/15",,,
,9124,"Legislation","Law passed","Law passed",,"14/11/14",,,
,9126,"Legislation","Law passed","Law passed",,"02/08/11",,,
,9128,"Legislation","Law passed","Law passed",,"04/08/02",,,
,9132,"Legislation","Law passed","Law passed",,"11/09/96",,,
,9134,"Legislation","Law passed","Law passed",,"25/12/04",,,
,9142,"Legislation","Law passed","Law passed",,"25/12/10",,,
,9144,"Legislation","Law passed","Law passed",,"03/03/07",,,
,9148,"Legislation","Law passed","Law passed",,"14/10/17",,,
,9150,"Legislation","Law passed","Law passed",,"15/06/98",,,
,9158,"Legislation","Law passed","Law passed",,"24/10/12",,,
,9162,"Legislation","Law passed","Law passed",,"10/10/12",,,
,9164,"Legislation","Law passed","Law passed",,"01/10/11",,,
,9166,"Legislation","Law passed","Law passed",,"25/12/16",,,
,9168,"Legislation","Law passed","Law passed",,"03/11/16",,,
,9170,"Legislation","Law passed","Law passed",,"25/12/13",,,
,9172,"Legislation","Law passed","Law passed",,"10/09/19",,,
,9174,"Legislation","Law passed","Law passed",,"01/08/96",,,
,9180,"Legislation","Law passed","Law passed",,"12/12/19",,,
,9190,"Legislation","Law passed","Law passed",,"03/03/12",,,
,9196,"Legislation","Law passed","Law passed",,"10/10/08",,,
,9204,"Legislation","Law passed","Law passed",,"04/05/15",,,
,9206,"Legislation","Law passed","Law passed",,"29/06/09",,,
,9210,"Legislation","Law passed","Law passed",,"16/03/92",,,
,9212,"Legislation","Law passed","Law passed",,"30/04/17",,,
,9216,"Legislation","Law passed","Law passed",,"25/12/15",,,
,9214,"Legislation","Law passed","Law passed",,"01/09/17",,,
,9218,"Legislation","Law passed","Law passed",,"25/12/05",,,
,9220,"Legislation","Law passed","Law passed",,"30/09/16",,,
,9222,"Legislation","Law passed","Law passed",,"11/05/15",,,
,9228,"Legislation","Law passed","Law passed",,"23/07/06",,,
,9230,"Legislation","Law passed","Law passed",,"11/03/06",,,
,9236,"Legislation","Law passed","Law passed",,"20/05/16",,,
,9246,"Legislation","Law passed","Law passed",,"02/06/14",,,
,9248,"Legislation","Law passed","Law passed",,"13/12/07",,,
,9252,"Legislation","Law passed","Law passed",,"25/12/13",,,
,9254,"Legislation","Law passed","Law passed",,"15/01/16",,,
,9256,"Legislation","Law passed","Law passed",,"24/10/17",,,
,9258,"Legislation","Law passed","Law passed",,"08/08/17",,,
,9262,"Legislation","Law passed","Law passed",,"25/02/16",,,
,9270,"Legislation","Law passed","Law passed",,"31/01/14",,,
,9272,"Legislation","Law passed","Law passed",,"07/03/14",,,
,9274,"Legislation","Law passed","Law passed",,"20/06/16",,,
