Id,Type,Number,Text
,sub_indicator,6.2.a,Has the bank reported on the climate solutions financing and facilitation it provided in the latest reporting year?
,sub_indicator,6.2.b,Has the bank disclosed its total share of finance directed towards climate solutions in the latest reporting year?
,sub_indicator,6.2.c,Has the bank quantified the real-economy impact of its climate solutions financing and facilitation?
,area,7,Climate policy engagement
,indicator,7.1,Has the bank disclosed a 1.5°C-aligned climate lobbying position, with governance and review measures to enforce this position?
,sub_indicator,7.1.a,Has the bank disclosed a public commitment or position statement to conduct all of its lobbying in accordance with the goal of restricting global temperature rise to 1.5⁰C above pre-industrial levels?
,sub_indicator,7.1.b,Has the bank published an annual review of its climate policy positions, evaluated whether these are consistent with the 1.5⁰C goal, AND disclosed how it has advocated for them through its own climate policy engagement activities?
,indicator,7.2,Has the bank disclosed a 1.5°C-aligned climate lobbying position related to its trade association memberships, with governance and review measures to enforce this position?
,sub_indicator,7.2.a,Has the bank disclosed a public commitment or position statement to advocate for 1.5°C-aligned lobbying within the trade associations of which it is a member?
,sub_indicator,7.2.b,Has the bank published a review of its trade associations' climate policies, their alignment with the 1.5°C goal, and the actions taken by the bank in response?
,sub_indicator,7.2.c,For each trade association, has the bank disclosed whether it sits on the Executive Board or plays an active role in committees or other activities related to climate change?
,area,8,Climate governance
,indicator,8.1,Has the bank evaluated whether climate-related risks are material risks across its business and discussed the impacts?
,sub_indicator,8.1.a,Has the bank included climate-related risks, including both transition and physical risks, as a key risk category in its annual report OR explained the decision to exclude climate risk as a material risk category?
,sub_indicator,8.1.b,Has the bank disclosed in its annual report the implications of climate-related risks and actions taken?
,indicator,8.2,Has the bank nominated a Board member or Board Committee with explicit responsibility for oversight of climate change?
,sub_indicator,8.2.a,Has the bank disclosed evidence of a Board committee or a Board member with responsibility for oversight of climate change?
,sub_indicator,8.2.b,Has the bank assessed these individuals’ competencies with respect to managing climate risks and disclosed the results of those assessments?
,sub_indicator,8.2.c,Has the bank disclosed details on the criteria used to assess the board competencies with respect to managing climate risks?
,indicator,8.3,Has the bank incorporated climate change performance elements in its executive remuneration scheme?
,sub_indicator,8.3.a,Has the bank established a remuneration scheme at the C-suite level that specifically incorporates climate change?
,sub_indicator,8.3.b,Has the bank established a remuneration scheme at the C-suite level that incorporates progress towards achieving the bank’s financed/facilitated emissions reduction targets?
,area,9,Just transition
,indicator,9.1,Has the bank integrated Just Transition principles in its decarbonisation strategy?
,sub_indicator,9.1.a,Has the bank committed to decarbonise in line with defined Just Transition principles, recognising the social impacts of its decarbonisation efforts?
,sub_indicator,9.1.b,Has the bank disclosed actions taken to ensure relevant Just Transition considerations are incorporated in its climate strategy (e.g. Just Transition-related requirements in lending covenants and conditions, pre-investment screening, sector policies)?
,area,10,Annual reporting, accounting, and audits
,indicator,10.2,Has the bank incorporated material climate-related matters in its audited financial statements and notes on this?
,sub_indicator,10.2.a,Has the bank disclosed where material climate-related matters are incorporated in its financial statements, and explained how?
,sub_indicator,10.2.b,Has the bank disclosed the quantitative climate-related assumptions and estimates (e.g., estimates of future cash flows used in impairment testing) in its financial statements?
,sub_indicator,10.2.c,Has the bank used, or disclosed a sensitivity to, assumptions and estimates that are aligned with achieving net-zero financed/facilitated emissions by 2050 (or sooner) in its financial statements?
,sub_indicator,10.2.d,Are the bank’s financial statements consistent with the bank’s other reporting (e.g. annual report, TCFD index, sustainability report, Pillar 3 disclosures)?
,indicator,10.3,Has the bank's audit report demonstrated that the auditor considered the effects of material climate-related matters in its audit?
,sub_indicator,10.3.a,Has the report identified how the auditor has assessed the material impacts of climate-related matters?
,sub_indicator,10.3.b,Has the audit report analysed the bank's assumptions and estimates used in quantifying the financial consequences of climate-related matters?
,sub_indicator,10.3.c,Has the auditor confirmed that the financial statements and the bank’s other reporting (e.g., Annual Report, Pillar 3 disclosures, TCFD index, sustainability report, etc.) are consistent?
