Id,Assessment Date,Publication Date,Bank Id,Bank,Area 1,Indicator 1.1,Sub-indicator 1.1.a,Sub-indicator 1.1.b,Sub-indicator 1.1.c,Sub-indicator 1.1.d,Area 2,Indicator 2.1,Sub-indicator 2.1.a,Sub-indicator 2.1.b,Sub-indicator 2.1.c,Indicator 2.2,Sub-indicator 2.2.a,Sub-indicator 2.2.b,Sub-indicator 2.2.c,Sub-indicator 2.2.d,Sub-indicator 2.2.e,Sub-indicator 2.2.f,Area 3 ,Indicator 3.1,Sub-indicator 3.1.a,Sub-indicator 3.1.b,Indicator 3.2,Sub-indicator 3.2.a,Sub-indicator 3.2.b,Sub-indicator 3.2.c,Indicator 3.3,Sub-indicator 3.3.a,Sub-indicator 3.3.b,Sub-indicator 3.3.c,Indicator 3.4,Sub-indicator 3.4.a,Sub-indicator 3.4.b,Indicator 3.5,Sub-indicator 3.5.a,Sub-indicator 3.5.b,Area 4,Indicator 4.1,Area 5,Indicator 5.1.1,Sub-indicator 5.1.1.a,Sub-indicator 5.1.1.b,Sub-indicator 5.1.1.c,Sub-indicator 5.1.1.d,Indicator 5.1.2,Sub-indicator 5.1.2.a,Sub-indicator 5.1.2.b,Indicator 5.1.3,Sub-indicator 5.1.3.a,Sub-indicator 5.1.3.b,Sub-indicator 5.1.3.c,Indicator 5.2.1,Sub-indicator 5.2.1.a,Sub-indicator 5.2.1.b,Sub-indicator 5.2.1.c,Sub-indicator 5.2.1.d,Sub-indicator 5.2.1.e,Indicator 5.2.2,Sub-indicator 5.2.2.a,Sub-indicator 5.2.2.b,Sub-indicator 5.2.2.c,Indicator 5.3.1,Sub-indicator 5.3.1.a,Sub-indicator 5.3.1.b,Sub-indicator 5.3.1.c,Sub-indicator 5.3.1.d,Sub-indicator 5.3.1.e,Area 6,Indicator 6.1,Sub-indicator 6.1.a,Sub-indicator 6.1.b,Sub-indicator 6.1.c,Area 7,Indicator 7.1,Sub-indicator 7.1.a,Sub-indicator 7.1.b,Indicator 7.2,Sub-indicator 7.2.a,Sub-indicator 7.2.b,Sub-indicator 7.2.c,Area 8,Indicator 8.1,Sub-indicator 8.1.a,Sub-indicator 8.1.b,Indicator 8.2,Sub-indicator 8.2.a,Sub-indicator 8.2.b,Sub-indicator 8.2.c,Indicator 8.3,Sub-indicator 8.3.a,Sub-indicator 8.3.b,Area 9,Indicator 9.1,Sub-indicator 9.1.a,Sub-indicator 9.1.b,Area 10,Indicator 10.1,Sub-indicator 10.1.a,Indicator 10.2,Sub-indicator 10.2.a,Sub-indicator 10.2.b,Sub-indicator 10.2.c,Sub-indicator 10.2.d,Indicator 10.3,Sub-indicator 10.3.a,Sub-indicator 10.3.b,Sub-indicator 10.3.c,TPI Notes,Box for further information
,30/06/2023,05/09/2023,12,Edge Bank Inc.,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,27%,0%,No,No,0%,No,No,No,33%,Yes,No,No,50%,Yes,No,50%,Yes,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No ,No,0%,0%,No,No,0%,No,No,No,28%,50%,Yes,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,13,New National Bank System,100%,100%,Yes,Yes,Yes,Yes,25%,33%,No,Yes,No,17%,No,No,No,Yes,No,No,33%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,10%,25%,Yes,No,No,No,0%,No,No,33%,No,Yes,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,67%,67%,Yes,No,Yes,0%,0%,No,No,0%,No,No,No,28%,50%,Yes,No,33%,Yes,No,No,0%,No,No,100%,100%,Yes,Yes,44%,100%,Yes,0%,No,No,No,No,33%,Yes,No,No,,
,30/06/2023,05/09/2023,14,Azure Financial Holdings,25%,25%,Yes,No,No,No,33%,33%,No,Yes,No,33%,No,No,No,No,Yes,Yes,43%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,35%,75%,Yes,Yes,No,Yes,0%,No,No,0%,No,No,No,40%,No,No,Yes,Yes,No,33%,Yes,No,No,60%,Yes,Yes,No,Yes,No,67%,67%,Yes,No,Yes,0%,0%,No,No,0%,No,No,No,44%,100%,Yes,Yes,33%,Yes,No,No,0%,No,No,100%,100%,Yes,Yes,64%,100%,Yes,25%,Yes,No,No,No,67%,Yes,Yes,No,,
,30/06/2023,05/09/2023,15,Life Tree Trust,0%,0%,No,No,No,No,0%,0%,No,No,No,0%,No,No,No,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,No,0%,No,No,0%,No,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No ,0%,0%,No,No,0%,0%,No,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,16,Grand Summit Bancorp,50%,50%,Yes,Yes,No,No,42%,67%,No,Yes,Yes,17%,No,No,No,No,No,Yes,50%,50%,Yes,No,67%,Yes,Yes,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,10%,0%,No,No,No,No,0%,No,No,0%,No,No,No,20%,Yes,No,No,No,No,0%,No,No,No,40%,No,Yes,No,Yes,No,67%,67%,Yes,No,Yes,0%,0%,No,No,0%,No,No,No,44%,100%,Yes,Yes,33%,Yes,No,No,0%,No,No,50%,50%,Yes,No,56%,100%,Yes,0%,No,No,No,No,67%,Yes,Yes,No,,
,30/06/2023,05/09/2023,17,Kindred Bancorp,0%,0%,No,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,37%,50%,Yes,No,0%,No,No,No,33%,Yes,No,No,50%,Yes,No,50%,Yes,No,N/A,,6%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,33%,No,Yes,No,0%,No,No,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,11%,0%,No,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,18,Springwell Banks,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,43%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,7%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,40%,Yes,Yes,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,19,Free Citizen Financial Group,25%,25%,Yes,No,No, No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,50%,50%,Yes,No,67%,Yes,Yes,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,12%,0%,No,No,No,No,0%,No,No,33%,No,Yes,No,0%,No,No,No,No,No,0%,No,No,No,40%,Yes,Yes,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,11%,0%,No,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,20,Monolith Trust Corp.,25%,25%,Yes,No,No,No,17%,33%,No,Yes,No,0%,No,No,No,No,No,Yes ?,27%,0%,No,No,33%,Yes,No,No,0%,No,No,No,100%,Yes,Yes,0%,No ,No ,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No ,No ,No ,0%,No,No,No,No,No,0%,No,No,No,0%,No ,No ,No ,No ,No ,33%,33%,Yes,No ,No ,0%,0%,No ,No ,0%,No ,No ,No ,28%,50%,Yes,No,33%,Yes,No ,No ,0%,No ,No ,0%,0%,No,No,33%,100%,Yes,0%,No,No ,No,No,0%,No,No ,No ,,
,30/06/2023,05/09/2023,21,Evolution Bancorp,50%,50%,Yes,Yes,No,No,33%,33%,No,Yes,No,33%,No,Yes,No,No,No,Yes,33%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,9%,0%,No,No,No,No,0%,No,No,33%,No,No ,Yes,0%,No,No,No,No,No,0%,No,No,No,20%,Yes,No ,No ,No ,No ,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No ,50%,100%,Yes,Yes,0%,No,No ,No ,50%,Yes,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,22,Bastion Bank Corp.,25%,25%,Yes,No,No,No,33%,33%,No,Yes,No,33%,No,Yes,No,No,No,Yes,33%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No ,No ,No ,0%,No,No,No ,No ,No ,0%,No,No,No,0%,No ,No ,No ,No ,No ,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,11%,0%,No,No ,33%,Yes,No ,No ,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,23,Commonwealth Financial Services,50%,50%,Yes,Yes,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,63%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,100%,Yes,Yes,N/A,,7%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,40%,Yes,Yes,No ,No ,No ,67%,67%,Yes,No,Yes,0%,0%,No,No,0%,No,No,No,11%,0%,No,No,33%,Yes,No ,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,24,Repose Corporation,50%,50%,Yes,Yes,No,No,33%,67%,No,Yes,Yes,0%,No,No,No,No,No,No,17%,0%,No,No,0%,No,No,No,33%,Yes,No,No,50%,Yes,No,0%,No,No,N/A,,17%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,100%,Yes,Yes,Yes,0%,No ,No ,No ,No ,No ,67%,67%,Yes,No,Yes,0%,0%,No,No,0%,No,No,No ,78%,100%,Yes,Yes,33%,Yes,No ,No ,100%,Yes,Yes,0%,0%,No,No,53%,100%,Yes,25%,Yes,No,No,No,33%,Yes,No,No,,
,30/06/2023,05/09/2023,25,Flow Banks,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,63%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,100%,Yes,Yes,N/A,,8%,25%,No,No,No,Yes,0%,No,No,0%,No ,No ,No,0%,No,No,No,No,No,0%,No,No,No,20%,No ,Yes,No ,No ,No ,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No ,44%,50%,Yes,No ,33%,Yes,No ,No ,50%,Yes,No,100%,100%,Yes,Yes,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,26,Origin Bank,50%,50%,Yes,Yes,No,No,33%,33%,No,Yes,No,33%,No,Yes,No,No,No,Yes,53%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,50%,Yes,No,N/A,,11%,0%,No,No,No,No,0%,No,No,67%,Yes,Yes,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No ,44%,100%,Yes,Yes,33%,Yes,No,No,0%,No,No ,0%,0%,No,No,42%,100%,Yes,25%,Yes,No,No,No ,0%,No ,No ,No ,,
,30/06/2023,05/09/2023,27,Miracle Banks,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,43%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,50%,Yes,No,100%,Yes,Yes,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No ,11%,0%,No,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,0%,0%,No,0%,No,No,No,No,0%,No,No,No,,
