Id,Type,Number,Text
,sub_indicator,5.2.1.b,Has the bank committed to phase out all on- and off-balance sheet activities that finance unabated thermal coal (mining and power) on a timeline compatible with a 1.5°C-aligned pathway (i.e. by  2030 in OECD countries and by 2040 in the rest of  the world)?
,sub_indicator,5.2.1.c,Has the bank committed to end all project financing dedicated to the exploration and development of new oil and gas fields?
,sub_indicator,5.2.1.d,Has the bank committed to end all on- and off-balance sheet activities dedicated to the exploration and development of new oil and gas fields misaligned with a 1.5°C pathway?
,sub_indicator,5.2.1.e,Does the bank’s oil and gas policy include an exclusion threshold for investees with oil and gas expansion plans or with operations in unconventional oil and gas?
,indicator,5.2.2,Has the bank set and disclosed explicit criteria for withdrawal of financing from misaligned land conversion activities?
,sub_indicator,5.2.2.a,Has the bank disclosed an overarching commitment to end all on- and off-balance sheet activities that finance deforestation no later than 2025?
,sub_indicator,5.2.2.b,Has the bank disclosed a commodity-specific deforestation policy for all high forest-risk  commodities OR explicitly state its overarching commitment covers specific commodity supply chains?
,sub_indicator,5.2.2.c,"Has the bank committed to end all on- and off-balance sheet activities that finance land conversion of other natural ecosystems including natural savannahs, grasslands, peatlands and wetlands no later than 2025?"
,sub_area,5.3,Climate scenario analysis
,indicator,5.3.1,Has the bank undertaken climate-related scenario analysis?
,sub_indicator,5.3.1.a,"Has the bank conducted a climate-related scenario analysis for transition risks and disclosed its quantified results, including for a 1.5°C scenario?"
,sub_indicator,5.3.1.b,"Has the bank conducted a climate-related scenario analysis for physical risks and disclosed its quantified results, including for a higher temperature scenario?"
,sub_indicator,5.3.1.c,Do the bank's quantitative scenario analyses explicitly cover all its material on- and off-balance sheet activities?
,sub_indicator,5.3.1.d,Do the bank's quantitative scenario analyses explicitly cover all of the high-emission sectors in which it has activities?
,sub_indicator,5.3.1.e,Does the bank’s quantitative scenario analysis explicitly include a 1.5°C scenario; comprehensively cover all high-emission sectors and on- and off-balance sheet activities; and report on how results informed decision-making?
,area,6,Climate solutions
,indicator,6.1,Has the bank set and disclosed a strategy to scale up finance directed toward climate solutions?
,sub_indicator,6.1.a,"Has the bank committed to scale up finance directed toward climate solutions, with specific targets and milestones?"
,sub_indicator,6.1.b,Has the bank disclosed its total share of finance directed towards climate solutions in the latest reporting year AND reported progress against the target?
,sub_indicator,6.1.c,"Has the bank disclosed its definition of climate solutions AND used an established, external standard developed by a national, regional, or global governing body (e.g., EU Taxonomy)?"
,area,7,Climate policy engagement
,indicator,7.1,"Has the bank disclosed a 1.5°C-aligned climate lobbying position, with governance and review measures to enforce this position?"
,sub_indicator,7.1.a,Has the bank disclosed a public commitment or position statement to conduct all of its lobbying in accordance with the goal of restricting global temperature rise to 1.5?C above pre-industrial levels?
,sub_indicator,7.1.b,"Has the bank published an annual review of its climate policy positions, evaluated whether these are in line with Paris Agreement goals, AND disclosed how it has advocated for them through its own climate policy engagement activities?"
,indicator,7.2,"Has the bank disclosed a 1.5°C-aligned climate lobbying position related to its trade association memberships, with governance and review measures to enforce this position?"
,sub_indicator,7.2.a,Has the bank disclosed a public commitment or position statement to advocate for 1.5?C-aligned lobbying within the trade associations of which it is  a member?
,sub_indicator,7.2.b,Has the bank published a review of its trade associations’ climate positions or alignment with the Paris Agreement AND disclosed what actions it has taken as a result?
,sub_indicator,7.2.c,"For each trade association, has the bank disclosed whether it sits on the Executive Board or plays an active role in committees or other activities related to climate change?"
,area,8,Climate governance
,indicator,8.1,Has the bank evaluated whether climate-related risks are material risks across its business and discussed the impacts? 
,sub_indicator,8.1.a,"Has the bank included climate-related risks, including both transition and physical risks, as a key risk category in its annual report OR explained the decision to exclude climate risk as a material risk category?"
,sub_indicator,8.1.b,Has the bank disclosed in its annual report the implications of climate-related risks and actions taken?
,indicator,8.2,Has the bank nominated a Board member or Board Committee with explicit responsibility for oversight of climate change?
,sub_indicator,8.2.a,Has the bank disclosed evidence of a Board committee or a Board member with responsibility for oversight of climate change?
,sub_indicator,8.2.b,Has the bank assessed these individuals’ competencies with respect to managing climate risks and disclosed the results of those assessments?
,sub_indicator,8.2.c,Has the bank disclosed details on the criteria used to assess the board competencies with respect to managing climate risks and/or the measures taken to enhance these competences?
,indicator,8.3,Has the bank incorporated climate change performance elements in its executive remuneration scheme?
,sub_indicator,8.3.a,Has the bank established a remuneration scheme at the C-suite level that specifically incorporates climate change performance as a KPI determining performance-linked compensation? (References to ‘ESG’ or ‘sustainability performance’ are insufficient)
,sub_indicator,8.3.b,Has the bank established a remuneration scheme at the C-suite level that incorporates progress towards achieving the bank’s financed/facilitated emissions reduction targets as a KPI determining performance linked compensation? (This requires meeting relevant target indicators in Section 2)
,area,9,Just Transition
,indicator,9.1,Has the bank integrated Just Transition principles in its climate strategy?
,sub_indicator,9.1.a,"Has the bank committed to decarbonise in line with defined Just Transition principles, recognising the social impacts of its decarbonisation efforts?"
,sub_indicator,9.1.b,"Has the bank disclosed actions taken to ensure relevant Just Transition considerations are incorporated in its climate strategy (e.g. Just Transition-related requirements in lending  covenants and conditions, pre-investment  screening, sector policies)?"
,area,10,"Annual reporting, accounting and audits"
,indicator,10.1,Has the bank implemented and disclosed in line with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD)?
,sub_indicator,10.1.a,Has the bank disclosed in line with all four pillars of the TCFD recommendations and signposted these disclosures in its Annual Report?
,indicator,10.2,"Has the bank incorporated material climate-related matters in its audited financial statements, and notes on this?"
,sub_indicator,10.2.a,Has the bank demonstrated how material climate-related matters are incorporated in its financial statements?
,sub_indicator,10.2.b,"Has the bank disclosed the quantitative climate-related assumptions and estimates (e.g., estimates of future cash flows used in impairment testing) in its financial statements?"
,sub_indicator,10.2.c,"Has the bank used, or disclosed a sensitivity to, assumptions and estimates that are aligned with achieving net-zero financed/facilitated emissions by 2050 (or sooner) in its financial statements?"
,sub_indicator,10.2.d,"Are the bank’s financial statements consistent with the bank’s other reporting (e.g. annual report, TCFD index, sustainability report)?"
,indicator,10.3,Has the bank's audit report demonstrated that the auditor considered the effects of material climate-related matters in its audit?
,sub_indicator,10.3.a,Has the report identified how the auditor has assessed the material impacts of climate-related matters?
,sub_indicator,10.3.b,Has the audit report analysed the bank's assumptions and estimates used in quantifying the financial consequences of climate -related matters?
,sub_indicator,10.3.c,"Has the audit report identified inconsistencies between the financial statements and the bank's other reporting (e.g., Annual Report, TCFD index, sustainability report, etc.)?"
