"Id","Law","Title","Legislation type","Date passed","Description","Geography","Geography iso","Frameworks","Document types","Responses","Keywords","Natural hazards","Visibility status"
54,8734,"National Policy for Climate Change (Decree 269-15)","executive","01 Jan 2016","This document defines the government's transversal climate change policy. It defines principles, objectives and a range of instruments (fiscal, regulatory, communication) to implement. It further suggests corrections to bring to the Multi-annual National Plan for the Public Sector so that it takes into account climate change.

Its objectives are: 1) Manage climate variability directly or indirectly attributed to human activity and the effects it generates on the population and the national territory, through an adequate strategy, programming, plans and projects at the national level, in accordance with the provisions of the Convention United Nations Framework on Climate Change and the Kyoto Protocol, 2)  Incorporate adaptation to climate change as a transversal policy within the National Development Strategy 2030, and its articulation with other transversal policies, in particular environmental sustainability, risk management, territorial cohesion and gender equity, and 3) favour a political and institutional framework favorable to a low development in greenhouse gas emissions and resilient to climate change.

Decree 269-15, which establishes the policy, is detailed in Chapter 5.","Dominican Republic","DOM","Adaptation, Mitigation","Policy",,,,"published"
1,8803,"Meteorology Act, 2015","legislative","19 Nov 2015","This law establishes the Seychelles Meteorological Authority, which is responsible for conducting meteorological research, advising the government, public awareness and education programs related to climate change, cooperate with other countries' meteorology agencies, and provide weather and climate change forecasts.","Seychelles","SYC",,"Law",,,,"published"
9,8787,"Ministry of Land, Infrastructure, Transport and Tourism Climate Change Adaptation Plan","executive","01 Nov 2015","This document represents the Japanese government's climate change adaptation policy governing land use, urban development, transportation, housing, and construction. It outlines the overarching principles of adaptation, which include dealing with uncertainty, considering future risk, considering hard and soft adaptation measures, mainstreaming climate change in business planning, considering green solutions, and considering local and regional contexts. It also outlines the current and future measures the government plans to take to adapt to climate change. These include: strengthening flood defenses, conducting risk assessments, improving disaster response and recovery in local communities, improving monitoring and forecasting of disasters, release more and more accessible information about climate-related disasters to the public, encouraging the use of disaster-resilient construction techniques, promoting land use practices that increase resilience, promote sustainable water use practices, continuing to support research into climate change impacts, and increasing green spaces and promoting energy efficiency in urban areas.","Japan","JPN",,"Plan",,,,"published"
39,8755,"Law on Renewable Energy Sources and Highly Effective Cogeneration","legislative","10 Sep 2015","The purpose of this law is to create a regulatory framework to promote the production of electricity from renewable energy sources and high efficiency co-generation, and to create incentives for consuming energy from renewable sources. It creates a support system for renewable energy production facilities in the form of a market premium and a guaranteed purchase price for installations smaller than 30 kW. The law outlines the process of public procurement in which renewable energy projects must participate to qualify for government support.","Croatia","HRV",,"Law",,,,"published"
10,8785,"Ministry of Agriculture, Forestry and Fisheries Climate Change Adaptation Plan","executive","01 Aug 2015","This plan represents the Japanese government's plan for addressing climate change adaptation in the agriculture, forestry, and fisheries sectors. It outlines the overarching principles that should be applied to adaptation in these sectors, as well as the risks each sector faces from climate change. Finally, it describes the current and future measures the government plans to implement to adapt each sector to the impacts of climate change. These include: continue supporting research into the impacts of climate change, support the development of heat- and disease-resistant plant varieties, including wheat, shiitake, and seaweed, supporting sustainable soil and water management, supporting and educating farmers about crop rotation and management and disaster prevention, establishing a pest monitoring and forecasting system, promoting afforestation and conservation of wetlands, establishing more protected forests and biodiversity corridors, promoting sustainable fish and livestock rearing techniques, and construct shoreline defenses to protect against sea-level rise and flooding.","Japan","JPN",,"Plan",,,,"published"
59,8728,"National Renewable Energy Policy","executive","01 Jan 2015","This document sets the government's renewable energy policy. It promotes the production and use of energy from renewable sources. It sets development targets for the years 2015-2020 and 2021-2032.

The government intends to foster renewable energies through 1) private investment, 2) on-grid and off-grid projects, 3) favorable/mandatory purchasing rules for utilities, 4) net-metering for producer-consumers, 4) delicense and deregulate small-scale hydro and solar projects under 100 kW capacity, 5) and promote technical solutions to obtain carbon credits.","Afghanistan","AFG",,"Policy",,,,"published"
13,8779,"The Reef 2050 Plan","executive","01 Jan 2015","This document describes government's overarching plan to protect the Great Barrier Reef from the impacts of climate change. It was updated and expanded in 2018.

Among its core functions are:
<ul style=""list-style-type: disc;"">
 	<li>The creation of an Independent Expert Panel and Reef Advisory Committee to evaluate health of Great Barrier Reef and advise the government</li>
 	<li>Supporting scientific research on climate change pathways and their impact on the reef</li>
 	<li>Setting quantitative targets for improving water quality around the Great Barrier Reef</li>
 	<li>Creating the Clean Energy Finance Corporation Reef Funding Program to make funds available for financing projects that implement the plan's goal</li>
 	<li>Support indigenous peoples in managing the Great Barrier Reef</li>
 	<li>Controlling and reducing pollution, as well as conserving and restoring the Great Barrier Reef</li>
 	<li>Promoting capacity building and cooperation among government</li>
 	<li>Supporting education and awareness raising of the importance of the Great Barrier Reef among Australians</li>
</ul>","Australia","AUS",,"Plan",,,,"published"
27,8758,"Decree approving the Special Climate Change Program 2014-2018","executive","28 Apr 2014","This decree adopts the <a href=""http://dof.gob.mx/nota_detalle.php?codigo=5342492&fecha=28/04/2014"">Special Climate Change Program 2014-2018</a> into law.

The objective of the Special Climate Change Program 2014-2018 is to reduce the vulnerability of populations and productive sectors, preserve and protect ecosystems and environmental services and increase infrastructure resilience to the adverse impacts of climate change. The instruments included in the Special Climate Change Program 2014-2018 include the country's National Risk Atlas, the National Vulnerability Atlas, the National Emission Inventory, the National Emission Registry, the Official Mexican Standard, the Information System on Climate Change and other financial, market and economic instruments, such as the country's carbon tax, emissions trading system and climate change fund.","Mexico","MEX",,"Decree",,,,"published"
55,8733,"National Adaptation Strategy for the Agricultural Sector 2014-2020","legislative","01 Jan 2014","This document sets the government's adaptation strategy for the agricultural sector over the period 2014-2020. The objective of this document is to establish the necessary elements to identify, articulate and guide the policy instruments, as well as the actions and measures necessary to strengthen the adaptation capacities of the agricultural sector. It is mainly focused on small and medium agricultural producers, reducing the vulnerabilities of their production systems, through the reduction of climate risks and the increase of resilience.

The strategy defines and promotes agricultural innovation and research processes through the use of a model that allows to adjust, reduce and achieve a greater resilience capacity of production systems in the face of vulnerability and the effects of climate change.","Dominican Republic","DOM",,"Strategy",,,,"published"
18,8786,"Agricultural Sector Plan for mitigation and adaptation to climate change and for the consolidation of a low carbon economy in agriculture (Plan ABC)","executive","01 Jun 2013","The Agricultural sector plan for mitigation and adaptation to climate change, called Plan ABC, aims to promote to promote the mitigation of GHG emissions in agriculture by improving the efficiency in the use of natural resources, increasing the resilience of productive systems and rural communities and enabling the adaptation of the agricultural sector to climate change.

The plan is organised into 7 programs:
<ul>
 	<li>Recovery of Degraded Pastures;</li>
 	<li>Agricultural-Livestock-Forest (iLPF) and Systems Integration Agroforestry (SAFs)</li>
 	<li>Direct Planting System (SPD);</li>
 	<li>Biological Nitrogen Fixation (BNF);</li>
 	<li>Planted Forests;</li>
 	<li>Treatment of animal waste</li>
 	<li>Adaptation to Climate Change.</li>
</ul>
The main focus of the plan is mitigation.","Brazil","BRA","Adaptation, Mitigation","Plan",,,,"published"
19,8782,"Transport Sector Plan for mitigation and adaptation to Climate Change","executive","01 Jun 2013","This plan of the transport and urban mobility sector for climate change mitigation and adaptation aims to contribute to the mitigation of greenhouse gas emissions in the sector, through initiatives that lead to the expansion of the transportation infrastructure and the greater use of more energy efficient transportation. Regarding the urban mobility sector, its objective is to increase the use of efficient systems of public passenger transport, contributing to the fulfilment of the voluntarily commitments made by Brazil.

The plan presents by subsector the current profile of emissions, future projections, projections for reduction of emissions and the mitigation actions with strategies for their implementation. The subsectors are: freight transportation (train, roads, water) and urban mobility. The main focus of the plan is mitigation of GHG emissions.","Brazil","BRA","Adaptation, Mitigation","Plan",,,,"published"
60,8730,"Law 138/2013 on renewable sources of energy","legislative","01 Jan 2013","This law aims at fostering the development of renewable energy sources through economic and regulatory incentives. It promotes innovation and new technologies for the production of electricity and heat from renewable energy sources. It seeks to reduce imports of organic fuels and reduce greenhouse gases emissions.
<div class=""page"" title=""Page 1"">
<div class=""layoutArea"">
<div class=""column"">

The law also transposes Directive 2009/28/EC. It was repealed by law 7/2017.

</div>
</div>
</div>","Albania","ALB",,"Law",,,,"published"
22,8774,"Law No. 12.651 – on the protection of Native Forests","legislative","25 May 2012","This Law regulates the protection, and sustainable use and exploitation of native forests and other indigenous plants. The Law aims to promote the economic development of Brazilian selected areas by recognising the existing native forests and other indigenous plants as Brazilian wealth and confirming the preservation of National forests, habitats, biodiversity, soil conservation and water resources for the well being of the future generations, among other activities.","Brazil","BRA","Adaptation, Mitigation","Law",,,,"published"
12,8781,"Australian Renewable Energy Agency Act 2011","legislative","04 Dec 2011","This law establishes the Australian Renewable Energy Agency to provide funding for research and development renewable energy technologies, collect, analyze, and disseminate information, advise the government on renewable energy policies, and liaise with state and territory governments to facilitate renewable energy projects.","Australia","AUS",,"Law",,,,"published"
37,8766,"Priority Framework for Action: Climate Change Adaptation and Disaster Risk Management in Agriculture 2011-2020","executive","01 Apr 2011","This policy outlines the Nepalese government's approach to adapting to climate change and disaster risk management in the agricultural sector. It has five priorities: (1) strengthening institutions, policy and coordination, (2) assessing and monitoring climate risks and vulnerabilities, (3) improved knowledge management, database and awareness raising, (4) implementing technical options by integrating community based approaches, (5) strengthening capacities for effective risk preparedness, response and rehabilitation.

This policy serves to integrate the priorities of Nepal's National Adaptation Program of Action and its National Strategy for Disaster Risk Management. In doing so, it creates space for government cooperation on the technical matters concerning both and enhances the government's ability to implement immediate actions concerning climate change adaptation and disaster risk management. This policy also outlines short-term priorities related to disaster response, medium-term priorities related to disaster risk reduction, and long-term priorities related to climate change adaptation, integrating them in a single policy.","Nepal","NPL","Adaptation","Framework",,,,"published"
11,8783,"Building Energy Efficiency Disclosure Act 2010","legislative","28 Jun 2010","This law establishes a national scheme to require the disclosure of information about the energy efficiency of large commercial office buildings at the point of sale, lease, and sublease in the form of a building energy efficiency certificate.","Australia","AUS",,"Law",,,,"published"
15,8775,"Investing in a Safer Future: A Disaster Risk Reduction Policy for the Australian Aid Program","executive","01 Jun 2009","The main goal of this policy is to mainstream disaster risk reduction and management into Australia's foreign aid projects. It especially seeks to encourage capacity building through staff education and training, technical support for knowledge/skills development, and coordination of disaster risk reduction and management with climate change adaptation measures.","Australia","AUS",,"Policy",,,,"published"
28,8759,"Creation of the Advisory Group on Climate Change (Decree No. 31)","executive","10 Mar 2008","This decree establishes the Advisory Group on Climate Change as a permanent body whose purpose it is to provide a space for dialogue, advise the government on climate change as it relates to sustainable development in the country, assist in preparing the country's national climate change policy, the country's national climate change plan and the country's communications to the UN Framework Convention on Climate Change.","El Salvador","SLV",,"Decree/order/ordinance",,,,"published"
7,8793,"Initiative for Disaster Reduction through Official Development Assistance","executive","18 Jan 2005","This document outlines the Japanese government's approach to incorporating disaster risk reduction into its international development assistance. Concretely, the Japanese government is to pursue a policy of integrating disaster prevention into international development policies; institution building that incorporates the perspectives of disaster prevention; training of experts and developing capacity for disaster prevention; raising awareness and building capacity of local communities on disaster reduction; prompt and appropriate emergency assistance; training of experts and transfer of expertise for emergency response; food aid in response to food shortage caused by disasters; coherent cooperation corresponding to each phase of disaster; assistance for developing disaster-resilient economic and social infrastructure and architecture; dissemination of disaster-resilient systems and technology; and provision of financial assistance necessary for reconstruction and development.","Japan","JPN",,"Policy",,,,"published"
14,8777,"Energy Grants (Cleaner Fuels) Scheme Act 2004","legislative","18 Sep 2003","This law creates a grant scheme that exempts certain producers of biofuels from customs and excise duties.","Australia","AUS",,"Act",,,,"published"
26,8778,"Decree of 6 March 2003 creating the Inter-Ministerial Executive Committee for the protection of the Ozone Layer","executive","06 Mar 2003","This decree creates the Inter-Ministerial Executive Committee for the Protection of the Ozone Layer, with the aim of establishing guidelines and co-ordinating all actions related to the protection of the ozone layer. Among the Committee competences envisaged by the Decree, there are: coordinating all actions related to the implementation of the Brazilian Programme for the Elimination of the Production and Consumption of Substances Destroying the Ozone Layer (PBCO).

Note (HL): It doesn't specifically mention climate change, not sure if it should be included.","Brazil","BRA","Adaptation, Mitigation","Decree",,,,"published"
58,8729,"National Strategy of Energy","executive","01 Jan 2003","This document sets Albania's energy strategy and an action plan. It seeks to provide the country with an sufficient and adequate energy supply.

The strategy notably seeks to reduce the environmental impacts of the energy sector, including greenhouse gases emissions. Solar, wind, biomass and small hydro are resources that should be exploited in priority.","Albania","ALB",,"Strategy",,,,"published"
64,8722,"Law 25.080 for investments in cultivated forests","legislative","15 Jan 0099","This law establishes a regime for the promotion of investments made in new forestry enterprises and in the extensions of existing forests. It aims at enabling entities to benefit from the installation of new forestry-industrial projects and the extensions of existing ones, as long as the wood supply is increased through the implantation of new forests. These benefits must be related to the investments actually made in the implementation.

The activities included in the regime instituted by this law are: the implementation of forests, their maintenance, management, irrigation, protection and harvesting, including research and development activities, as well as those of industrialisation of wood, when all of them are part of an integrated forest or forestry-industrial enterprise (art. 3).

The <a href=""https://www.argentina.gob.ar/forestar-2030"">ForestAR Strategy 2030</a> of 2018 is based on this law.","Argentina","ARG",,"Law",,,,"published"
48,8725,"Law on atmospheric air pollution","legislative","01 Nov 0091","This law aims to maintain the purity of atmospheric air and prevent all types of air pollution.

Chapter XII, art. 34 on the regulation of influence on weather and climate, states that state bodies, companies and other organisations can carry out actions impacting atmospheric air for economic purposes, ""<span lang=""EN-US"">only provided that it will not result in adverse influence on weather and climate"".</span>","Armenia","ARM",,"Law",,,,"published"
47,8739,"Law of General Ecological Balance and Protection of the Environment.","legislative","28 Jan 0088","This laws the framework document for environmental protection in Mexico. It was amended in 2016, 2017 and 2018 to include climate change issues, along side the establishment of new rules and fines.

Art. 2.V) states that the formulation and execution of mitigation actions and adaptation to climate change is of public interest.

Art. 15.IV) states that whoever carries out works or activities that affect or may affect the environment, is obliged to prevent, minimise or repair the damage caused, as well as to assume the costs that said affectation implies. Likewise, those who protect the environment should be encouraged, promote or carry out mitigation and adaptation actions to the effects of climate change and make sustainable use of natural resources.

Art. 23.X) statess that local authorities, in the sphere of their competence, shall avoid human settlements in areas where the populations are exposed to the risk of disasters due to adverse impacts of the climate change.

Art. 39 states that the competent authorities will promote the incorporation of ecological contents, sustainable development, mitigation, adaptation and reduction of vulnerability to climate change, protection of the environment, knowledge, values and competences, in the various educational cycles, especially at the basic level, as well as in the cultural formation of children and youth. Art. 41 charges the government to take adaptation actions.","Mexico","MEX",,"Law",,,,"published"
6,8795,"Act on Provision of Disaster Relief Expenses (Law no. 82)","legislative","18 Sep 0048","This law establishes criteria for regulating the provision of disaster relief funds. It allows the Disaster Relief Fund to make loans to people and local governments affected by disasters, sets a cap on the total amount of disaster relief an individual can receive, and defines the responsibility of the national and prefecture governments in funding disaster relief.","Japan","JPN",,"Law",,,,"published"
34,8765,"Global Change Impact Studies Centre Act, 2013","legislative","01 Jan 0026","This law establishes the Global Change Impact Studies Centre in Pakistan, whose task it is to study the impact of climate change in Pakistan. The Centre's specific duties are to: (1) prepare and submit project plans to its board of governors, (2) execute and implement approved project plans, (3) collaborate with national and international organizations to research climate change further, (4) hold seminars, conferences, workshops, and training courses, and publish research related to climate change, (5) advise government and recommend sectoral guidelines for adaptation and mitigation efforts, (6) generate public awareness of climate change and its likely impacts, and (7) perform other acts necessary for its objectives.","Pakistan","PAK",,"Law",,,,"published"
30,8760,"Action Plan on Gender and Climate Change and Executive Decree No. 012-2016-MINAM","executive","01 Jan 0024","Peru's Action Plan on Gender and Climate Change outlines the Peruvian government's official policy on gender and climate change. It recognizes that climate change does not impact people in the same way. Specifically, the policy focuses on reducing the vulnerability of women to the impacts of climate change and enhancing their adaptive capacity against them. The policy analyzes gender disparities in eight areas affected by climate change: forests, water resources, food security, energy, solid waste, education, health and well-being and disaster risk management. In then presents concrete policy recommendations in each area according to four different types of instruments: information management, capacity building, policies and management instruments and mitigation and adaptation measures.

The Action Plan on Gender and Climate Change was approved by Executive Decree No. 012-2016-MINAM and published in the country's Official Gazette, El Peruano, on 24 July 2016.","Peru","PER","Adaptation","Decree",,,,"published"
31,8761,"Executive Order 13677: Climate-Resilient International Development","executive","01 Jan 0023","This executive order requires that all government agencies integrate climate resilience into their international development work to the full extent permitted by law. Most importantly, requires agencies to assess the risks to their projects and adjust the projects appropriately. It also requires government agencies to cooperate in sharing data, assessing risks, and monitoring progress in implementing climate resilience considerations. Additionally, this law establishes a Working Group on Climate-Resilient International Development, whose task is to establish guidelines for implementing this law.","United States of America","USA",,"Decree/order/ordinance",,,,"published"
41,8749,"Greenhouse Gas Pollution Pricing Act","legislative","01 Jan 0021","The Greenhouse Gas Pollution Pricing Act establishes a federal price on greenhouse gas (GHG) emissions beginning in January 2019 and applying to any province or territory of Canada that requests the price, or to any province or territory of Canada that has not implemented a compliant carbon pricing regime.

The GHG pollution prices set out in this law start at C$20 per ton in 2019, although they rise by C$10 per ton annually until a maximum of C$50 per ton in 2022. The price will then stay at C$50 per ton unless new legislation is introduced to revise the price.

According to the law, producers, distributors and importers of fossil fuels and combustible waste must register and file monthly reports and returns showing that they have paid the net taxes for the fuels and waste they produce, distribute or import.","Canada","CAN",,"Law",,,,"published"
42,8756,"Fossil Fuel Divestment Act 2016","legislative","22 Nov 0018","This law commits Ireland's national treasury to divesting its Strategic Investment Fund entirely from fossil fuels within five years after the passage of the law. Specifically, it compels the national treasury to (1) ensure that its assets are not directly invested in a fossil fuel undertaking and divest from fossil fuel undertakings as soon as practicable, (2) ensure that its assets are not directly invested in a fossil fuel undertaking unless such an indirect investment has less than 15 percent of its assets invested in a fossil fuel undertaking.

This law does allow the national treasury to invest in a fossil fuel undertaking when that investment is intended to be consistent with (1) the transition to decarbonisation, (2) the implementation of Ireland's climate change obligations, or (3) the government's climate change policy objectives. It requires the national treasury to publicly list investments made under any of these exemptions.","Ireland","IRL",,"Law",,,,"published"
63,8724,"2050 Climate Strategy","executive","24 Sep 0018","The Tile Til Eo 2050 Climate Strategy ""Lighting the way"" makes a number of recommendations to achieve the country's objectives of net zero emissions by 2050 and 100 % renewable energy. These include periodic revision of GHG emissions reductions, specific goals such as in the waste sector, and a planning of new climate policies to adopt, such as a National Adaptation Plan by the end of 2019. This Strategy shall be periodically reviewed by the authorities over the period.

The document further promotes 1) the use of public transport, 2) efforts to phase out the use of kerosene for lighting and strengthen existing institutional arrangements to reduce GHGs from cooking and lighting, 3) the establishment of a long-term finance strategy to implement this strategy, 4) the prioritisation of capacity-building in all sectors, and 5) the inclusion of health considerations in the National Adaptation Plan.","Marshall Islands","MHL","Adaptation, Mitigation","Strategy",,,,"published"
62,8726,"National Policy on Climate Change and Disaster-Induced Displacement","executive","01 Sep 0018","This document sets Vanuatu's strategy regarding displacements of populations. These displacements occur, either temporarily or permanently, because the people are no longer able to reside on the land on which they live or lose access to land and natural resources upon which their livelihoods depend. A major cause for disasters causing displacement identified in the document is climate change.

The policy seeks to minimise the drivers of displacement, better understand the population's needs and wishes and take it into account, and promote access to disaster-resilient housing. It further identifies current policy gaps, and aims to optimise displacements so they can be more durable, through 1) sustainable return and reintegration at the place of origin, 2) sustainable local integration in areas where displaced persons have taken refuge, and 3) sustainable integration in another part of the country.","Vanuatu","VUT","Mitigation","Policy",,,,"published"
53,8736,"Climate Change Adaptation Act","legislative","01 Jun 0018","This Act aims at enhancing adaptation efforts in Japan. It enshrines into law the 2015 National Adaptation Plan and sets updated obligations. It charges authorities to take effective measures in various fields based on ""reliable scientific information"". It further promotes international cooperation and the involvement of private entities in adaptation efforts.

Climate change impact assessments will have to be published every five years by the Ministry for the Environment. Municipalities should establish local climate change adaptation plans.

The Act will enter into force in December 2018.","Japan","JPN","Adaptation","Act",,,,"published"
52,8737,"National Climate Change Action Plan 2018-2022 (NCCAP)","executive","16 May 0018","<div class=""page"" title=""Page 17"">
<div class=""layoutArea"">
<div class=""column"">

This plan aims to strengthen the country's path towards sustainable, climate-resilient development while achieving low carbon climate resilient development. It builds on the previous Action Plan spanning the period 2013-2017. The NCCAP consists in three documents, including an Adaptation Technical Analysis Report (volume II), and a Mitigation Technical Analysis Report (volume III).

The Plan seeks in particular to: 1) reduce risks to communities and infrastructure resulting from climate-related disasters such as droughts and floods, 2) Increase food and nutrition security through enhanced productivity and resilience of the agricultural sector in as low- carbon manner as possible, 3) Enhance resilience of the Blue Economy and water sector by ensuring access to and efficient use of water for agriculture, manufacturing, domestic, wildlife and other uses, 4) Increase forest cover to 10% of total land area; rehabilitate degraded lands, including rangelands; increase resilience of the wildlife and tourism sector, 5) Mainstream climate change adaptation into the health sector; and increase the resilience of human settlements, including improved solid waste management in urban areas, 6) Improve energy and resource efficiency in the manufacturing sector, and 7) Climate-proof energy and transport infrastructure; encourage electricity supply based on renewable energy; encourage the transition to clean cooking; and develop sustainable transport systems.

 

</div>
</div>
</div>","Kenya","KEN",,"Plan",,,,"published"
51,8738,"Law of 17 April 2018 on territory planning","legislative","20 Apr 0018","This law updates the legal framework on land planning in the country, notably to ensure that sustainable development principles are enshrined into territorial activities.

Art. 1 states the specific objectives of the law, including:

Objective 3: preserve the landscapes by guaranteeing their integrity and by maintaining the agricultural and forestry functions, viticultural, ecological, recreational and climatic

Objective 8: maintain climatic regulation surfaces, ecological corridors between different habitats and natural biotopes, and

Objective 9: reduce greenhouse gas concentrations in the atmosphere, by organising natural carbon sequestration.

The document further defines land planning with regard to renewable energy projects.","Luxembourg","LUX",,"Law",,,,"published"
