"Id","Title","Document type","Geography iso","Geography","Jurisdiction iso","Jurisdiction","Sector","Citation reference number","Summary","Keywords","At issue","Visibility status","Legislation ids"
171,"Société Arcelor Atlantique et Lorraine v. Premier Minister (European Court of Justice, Grand Chamber, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case C-127/07","The European Court of Justice upheld provisions of Directive 2003/87 implemented by French legislation, which applied the greenhouse gas trading scheme to installations in the steel sector.  Arcelor, a worldwide steel enterprise, challenged the directive under the principle of equality.  Arcelor argued that non-ferrous metals and plastics are both industries emitting greenhouse gases, yet they are not regulated by the Directive.  The Court found the differences in treatment between the steel industry and the chemical and non-ferrous metal industries to be justified based on substantial differences among the industries, such as the number of installations and the levels of direct emissions.",,"Challenge to the directive under the principle of equality","Draft",
170,"Industrie de bois de Vielsalm & Cie v. Region Wallone, European Court of Justice  C-195/12","Administrative Case","EUR","European Union","EUR","European Union",,"[2013] Case C-195/12","European Union adopted Directive 2004/8/EC to promote high-efficiency cogeneration and reduce greenhouse gas emissions. Under the Directive, Member States are to adopt certain support mechanisms to encourage cogeneration. In implementing the Directive, Walloon decided to exclude biomass from wood, because of the potentially negative environmental consequences. Industrie de bois de Vielsalm (IBV), which operates a cogeneration plant from sawmill waste, applied to the Walloon Government for green certificates under the support mechanism and was rejected. IBV challenged the refusal arguing that the exclusion of biomass from wood (1) was inconsistent with the Directive and (2) violated the EU Charter of Fundamental Rights. The Constitutional Court of Belgium referred these issues to the EU Court of Justice. The Court of Justice found Walloon’s interpretation of biomass was permissible under the Directive given its purpose. Furthermore, the Court found that while Member States were subject to the equal treatment and non-discrimination clauses of EU’s Charter of Fundamental Rights in implementing the cogeneration support mechanism, the Walloon Government did not defy those clauses when it excluded wood and wood waste from its biomass support scheme.",,"Adequacy of Swiss government's climate change mitigation targets and implementation measures","Draft",
169,"Decision No. 287110 of February 8, 2007 (French Council of State, 2007)","Administrative Case","FRA","France","FRA","France",,"Decision No. 287110 of February 8, 2007","Companies from the steel industry claimed that decree n°2004-832, which transposes the EU directive of October 13, 2003 establishing a system of exchange of greenhouse gas emission quotas in the European Union, was illegal.  The Companies claimed that the directive violated the principle of equality since it provided for a difference of treatment between certain industries.  Indeed it included the companies from the steel industry but excluded companies from the plastic and aluminum industries.  The French Conseil d’Etat referred the question to the European Court of Justice for a preliminary ruling.  The European Court of Justice held that the directive did not violate the principle of equality as the difference of treatment between the industries was justified by objective criteria, such as the very low carbon dioxide emissions from the non-steel industries.",,"Challenge to validity of decree transposing EU directive","Draft",
168,"Re Emission Quotas: Decision No. 2010-622 DC of December 28, 2010 (French Constitutional Council, 2010)","Administrative Case","FRA","France","FRA","France",,"N° 2010-622 DC","Article 64 of the finance law of 2011 provides that companies will have to purchase their greenhouse gas emissions quotas for 2011 whereas quotas were distributed free of charge in 2010.   Some of the companies have still not received their quotas, even though they carried out activities in 2010, and as a result challenged the validity of the law as violating the principle of equality between companies.  However the Constitutional Council upholds the validity of the article as the quota purchase will only apply for 2011 and 2012.",,"Challenge to assignment of quotas","Draft",
167,"Re French Carbon Tax: Decision No. 2009-599 DC of December 29, 2009 (French Constitutional Council, 2009)","Administrative Case","FRA","France","FRA","France",,"N° 2009-599 DC","French Constitutional Council annulled a tax on carbon emissions.  The tax was set at 17 Euros per ton of carbon dioxide.  The Council ruled that the proposed tax contained too many exemptions and would not have applied to 93% of industrial emissions.",,"Challenge to law proposing carbon tax in France","Draft",
166,"Bundes fur Umwelt und Naturschutz Deutschland e.V. & Germanwatch e.V., v. Bundesrepublik Deutschland, vertreten durch Bundesminister fur Wirtschaft und Arbeit (Berlin Administrative Court, 2006)","Administrative Case","DEU","Germany","DEU","Germany",,"[2006] VG 10 A 215.04","A German court ordered the government to release information on the climate change impacts of German export credits. The credits have provided financial support for projects that contribute to climate change.  BUND and Germanwatch brought suit against the government arguing that citizens have a right to the free access of environmental information under the German Access to Environmental Information Act (UIG).  The court, in granting the application, rejected the argument that information on German export credit activities did not constitute “environmental information” within the meaning of the UIG and could not potentially affect elements of the environment, such as climate change.",,"Sought environmental information on German export credit activities","Draft",
165,"Miersch/Maxeiner v. Bundesministerium für Umwelt  (Halle Administrative Court, 2015)","Administrative Case","DEU","Germany","DEU","Germany",,"1 A 304/13 HAL","The Administrative Court of Halle, Germany ruled in late November 2015 on a dispute between two journalists and the German Ministry of Environment. Specifically, the court determined that laws governing privacy rights and the Ministry’s conduct did not prevent the Ministry from publishing a pamphlet in 2013 that referred to the journalists by name and identified them as “climate-change skeptics.” The journalists had written an article in February 2012 for the Germany news outlet Die Welt that raised questions about the prevailing theory of climate change—based on interviews with academics who doubted the prevailing theory of greenhouse gas-based radiative forcing. The dispute arose when the journalists challenged use of their names in the pamphlet. The court recognized the validity of the journalists’ rights to privacy generally, but concluded that in this case the Ministry’s action was warranted. The court also noted that the Ministry is not restricted to neutral presentations of information; to the contrary, the Ministry is responsible to “inform and educate the public about environmental issues,” which in this instance included making appropriately objective characterizations of arguments and actors in a scientific debate.",,"Challenge to Ministry’s public characterization of journalists as “climate change skeptics”","Draft",
164,"In re Court on its own motion v. State of Himachal Pradesh & Others","Administrative Case","IND","India","IND","India",,"Application No. 237 (THC)/2013","India’s National Green Tribunal (NGT) was granted jurisdiction by a 2010 statute “over all civil cases where a substantial question relating to environment ... is involved and such question arises out of [one or more of seven environmental protection statutes enacted between 1974 and 2002].” The 2010 NGT Act empowers the NGT to initiate cases as well as order various remedies in those cases. In this case, the NGT did both: no party brought the case and the NGT ordered authorities in Himachal Pradesh to undertake several measures to remediate various environmental harms identified by consulting experts engaged by the NGT. The fundamental legal basis for the NGT’s decision is India’s constitution, and article 21 in particular, which, the NGT explained, has been interpreted by statutes and judicial decisions as providing for a fundamental right to what the NGT calls a “wholesome, clean, decent environment.” The NGT concluded that the government of Himachal Pradesh had violated its obligations under article 21 (as well as articles 48A and 51A) by failing to restrict development and road and pedestrian traffic in and around the increasingly touristed area accessible via the Rohatang Pass. Melting of regional glaciers and deforestation led the list of environmental impacts noted by the NGT, which identified the emission of black carbon from vehicle traffic as a chief cause of the melting. The NGT drew two linkages between these findings and global warming: first, that global warming heightens the need to take protective measures of a region sensitive to emissions and deforestation; and second, that “there is a need to tackle global warming” in order to avert the sort of environmental degradation at issue in the case. Although the NGT described how greenhouse gas emissions cause global warming, and affirmed the applicability of the “polluter pays” principle to the respondents in this case, the NGT did not assign Himachal Pradesh responsibility for mitigating global warming per se. It did, however, order the government of Himachal Pradesh to impose a host of restrictions on traffic and to undertake a program of reforestation, both of which would be overseen by a Monitoring Committee that would make quarterly reports to the NGT.",,"Challenge to approval given by Minister for Planning for construction proposal on grounds that procedure did not follow Environmental Planning and Assessment Act","Draft",
163,"An Taisce v. An Bord Pleanála (High Court of Ireland 2015)","Administrative Case","IRL","Ireland","IRL","Ireland",,"[2015] IEHC 633","An Taisce and Friends of the Irish Environment, Ltd., challenged An Bord Pleanála’s approval of Edenderry Power Ltd.’s application to extend operation of its peat- and biomass-burning power plant from 2015 to 2023. Bord Na Móna Allen Peat Limited and others engaged in peat extraction and transport were also parties to the case.  At issue was whether the approval granted to Edenderry had complied with the EU’s Environmental Impact Assessment Directive, which was incorporated into Irish law in 2010. An Taisce argued that the approval had not because it had considered only the impacts of the plant’s operations but not those resulting from the peat extraction and transport involved in supplying the bulk of the plant’s feedstock. Edenderry and the other respondents countered that because neither the peat nor plant operations were contingent upon one another they were unrelated for the purposes of environmental review. The High Court, noting that it was required to base its decision on the “actual reality of the project” at issue, rejected Edenderry’s arguments as theoretical—the permit application, after all, contemplated sourcing from these particular bogs, such that any other approach would constitute a material change to the application. Thus, “[t]here is functional interdependence as the power plant relies for the vast majority of its raw material on the designated bogs.” The court also noted that it made no difference that the bogs were independently subject to an air pollution licensing regime. The planning authority, it explained, “is entitled to take the licenses into account” when assessing the impacts of the peat extraction operations.",,"Appeal of planning authority grant of permission to operate power plant without first considering impacts of extracting feedstock","Draft",
162,"Genesis Power Ltd and the Energy Efficiency and Conservation Authority v. Franklin District Council (Environment Court, 2005)","Administrative Case","NZL","New Zealand","NZL","New Zealand",,"[2005] NRRMA 541","New Zealand Environment Court granted consent for a wind farm.  The Franklin District Council refused consent for the project on the basis that would have an adverse visual effect on the landscape, local community and equestrian activities.  Proponents of the project cite reduction in emission of harmful greenhouse gases and a national need for sustainable and renewable energy sources as support for the project.  The court determined that the purpose of the Resource Management Act 1991 would be better served by granting the wind farm proposal.  The court found that the benefit of the wind farm proposal, when seen in a national context, outweighed the site-specific effects and the effects on the surrounding area.  The court also rejected the council’s argument that because the wind farm was relatively small, its climate change benefits were not relevant.",,"Challenge to district council's decision refusing consent for a proposed wind farm","Draft",
