"Id","Target type","Description","Ghg target","Year","Base year period","Single year","Source","Geography","Geography iso","Sector","Legislation ids","Scopes","Visibility status"
"2387","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Italy","ITA","Economy-wide",,"Economy Wide","published"
"2386",,"20% shift from private transport to public transport","false",,,"false","ndc","Israel","ISR","Transportation",,"Public Transport","published"
"2385",,"17% of the electricity from renewables by 2030","false","2030",,"false","ndc","Israel","ISR","Energy",,"Renewable Energy","published"
"2384","base_year_target","-17% electricity consumption below BAU in 2030","false","2030",,"false","ndc","Israel","ISR","Energy",,"Energy Efficiency","published"
"2383","intensity_target","Reduce per capita greenhouse gas emissions to 7.7 tCO2e by 2030, equivalent to a 26% reduction compared to 2005 of 10.4 tCO2e per capita; interim target of 8.8 tCO2e per capita by 2025","true","2030","2005","false","ndc","Israel","ISR","Economy-wide",,"Economy Wide","published"
"2262","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990.","true","2030","1990","true","ndc","European Union","EUR","Economy-wide",,"Economy Wide","published"
"2221","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Denmark","DNK","Economy-wide",,"Economy Wide","published"
"2198","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Cyprus","CYP","Economy-wide",,"Economy Wide","published"
"2162","baseline_scenario_target","20% (unconditional) to 30% (conditional) reduction in GHG emissions by 2030 compared to the BAU scenario","true","2025","business as usual scenario","false","ndc","Colombia","COL","Economy-wide",,"Economy Wide","published"
"2143",,"20% non-fossil fuels in primary energy consumption by 2030","false","2030",,"false","ndc","China","CHN","Energy",,"Energy: General","published"
"2142",,"200 GW wind by 2020","false","2020",,"false","ndc","China","CHN","Energy",,"Renewable Energy: Wind","published"
"2141",,"100 GW solar by 2020","false","2020",,"false","ndc","China","CHN","Energy",,"Renewable Energy: Solar","published"
"2140",,"10% natural gas consumption in the primary energy consumption by 2020; 30 million cubic meters coal-bed methane production by 2020","false","2020",,"false","ndc","China","CHN","Energy",,"Gas","published"
"2139",,"Additional 4.5 billion cubic meter forest stock volume compared to 2005 level","false",,,"false","ndc","China","CHN","LULUCF",,"Lulucf/Forestry: General","published"
"2138",,"30% public transport in cities by 2020","false","2020",,"false","ndc","China","CHN","Transportation",,"Public Transport","published"
"2137",,"Zero growth of fertilizer and pesticide utilization by 2020","false","2020",,"false","ndc","China","CHN","Agriculture",,"Agriculture: General","published"
"2136",,"35% HCFC-22 reduction (compared to 2010 level) by 2020 | 67.5% HCFC-22 reduction (compared to 2010 level) by 2025 | Achieve effective control on emissions of HFC-23 by 2020","false","2025",,"false","ndc","China","CHN","Industry",,"Hf Cs","published"
"2135",,"50% share of green buildings in newly built buildings of cities and towns by 2020","false","2020",,"false","ndc","China","CHN","Buildings",,"Buildings","published"
"2134",,"Increase the forested area by 40 million hectares and the forest stock volume by 1.3 billion cubic meters compared to the 2005 levels.","false",,,"false","ndc","China","CHN","LULUCF",,"Sustainable Forest Management","published"
"2133","intensity_target_and_trajectory_target","Achieve the peaking of CO2 emissions around 2030 and making best efforts to peak early; 60% to 65% reduction of CO2 emissions per unit of GDP by 2030 compared to 2005 level","true","2030","2005","false","ndc","China","CHN","Economy-wide",,"Economy Wide","published"
"2124",,"Reduce 10ktCO2e/yr","true",,,"false","ndc","Central African Republic","CAF","Energy",,"Demand Side Efficiency","published"
"2123",,"-250ktCO2e/yr","true",,,"false","ndc","Central African Republic","CAF","Energy",,"Renewable Energy: Biofuels","published"
"2122",,"Reduce 500ktCO2e/yr","true",,,"false","ndc","Central African Republic","CAF","Energy",,"Clean Cooking And Heating: Efficient Cookstoves","published"
"2121",,"National Rural Electrification Programme (-250ktCO2/yr) | Programme for the reduction of short-lived climate pollutants (multi sectoral)  (-250ktCO2/yr)","true",,,"false","ndc","Central African Republic","CAF","Energy",,"Energy: General","published"
"2120","baseline_scenario_target","5% reduction by 2030 and 25% by 2050 in GHG emission compared to the reference BAU scenario","true","2050","business as usual scenario","false","ndc","Central African Republic","CAF","Economy-wide",,"Economy Wide","published"
"2060","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Bulgaria","BGR","Economy-wide",,"Economy Wide","published"
"1975","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Austria","AUT","Economy-wide",,"Economy Wide","published"
"1973","base_year_target","26% to 28% reduction in GHG emissions by 2030 compared to 2005 levels","true","2030","2005","false","ndc","Australia","AUS","Economy-wide",,"Economy Wide","published"
"1958","baseline_scenario_target","Reduce CO2 emissions compared to the baseline scenario in the period of 2016 and 2030 by 11.5%, which means 708 kT carbon-dioxide emission reduction in 2030.","true","2030","N/A","false","ndc","Albania","ALB","Economy-wide",,"Economy Wide","published"
"1957",,"Increase carbon sink to 5 MtCO2e per year by 2030","true","2030",,"false","ndc","Angola","AGO","LULUCF",,"Lulucf/Forestry: General","published"
"1956",,"Produce 100 megawatts of solar power to all rural areas by 2025","false","2025",,"false","ndc","Angola","AGO","Energy",,"Renewable Energy: Solar","published"
"1955",,"Generate 5000 megawatts power from 2013 to 2017","false","2017",,"false","ndc","Angola","AGO","Energy",,"Power System Planning","published"
"1953","baseline_scenario_target","Up to 35% (uncondtional) to 50% (conditional) reduction in GHG emissions by 2030 as compared to the BAU scenario","true","2030","business as usual scenario","false","ndc","Angola","AGO","Economy-wide",,"Economy Wide","published"
"1760","base_year_target","Limit by 1% GHG emissions now covered by EU ETS by 2020 against a 2005 baseline","true","2020","2005","false","law","Portugal","PRT","Economy-wide","1567","Economy Wide","published"
"1759","base_year_target","25% cut in primary energy consumption (30% in Public Administration) by 2020","false","2020","2020","false","law","Portugal","PRT","Energy","1567","Energy Efficiency","published"
"1758","fixed_level_target","Operational start of new natural gas combined cycle power plants (2,160 MW in 2006 will now be 5,360 MW in 2010) by 2010 against a 2006 baseline","false","2010","2006","false","law","Portugal","PRT","Energy","1573","Fuels","published"
"1757","base_year_target","Reduction of primary energy consumption by 25% by 2020 against a 2013 baseline","false","2020","2013","false","law","Portugal","PRT","Energy","1567","Energy Intensity","published"
"1756","base_year_target","Reduction of 30% of primary energy consumption for the public sector by 2020 against a 2013 baseline","false","2020","2013","false","law","Portugal","PRT","Energy","1567","Energy Intensity","published"
"1755","base_year_target","31% final energy consumption from renewables by 2020","false","2020","2020","false","law","Portugal","PRT","Energy","1567","Renewable Energy","published"
"1754","fixed_level_target","31% of final energy consumption coming from renewable sources by 2020","false","2020","2013","false","law","Portugal","PRT","Energy","1567","Renewable Energy","published"
"1753","fixed_level_target","10% of used energy in the transport sector coming from renewable sources by 2020","false","2020","2013","false","law","Portugal","PRT","Transportation","1567","Renewable Energy And Biofuels","published"
"1752","base_year_target","45% renewables of gross electricity consumption by 2010","false","2010","2010","false","law","Portugal","PRT","Energy","1573","Renewable Energy","published"
"1751","fixed_level_target","Increase to 45% of the share of electricity production from renewable sources by 2010","false","2010","2006","false","law","Portugal","PRT","Energy","1573","Renewable Energy","published"
"1750","fixed_level_target","Increase of the 5.75% biofuels goal to 10% in 2010","false","2010","2006","false","law","Portugal","PRT","Energy","1573","Renewable Energy: Biofuels","published"
"1749","base_year_target","10% transportation energy from renewables by 2020","false","2020","2020","false","law","Portugal","PRT","Transportation","1567;1571","Renewable Energy And Biofuels","published"
"1748","base_year_target","6.75% or more biodiesel in diesel in land transport by 2014","false","2014","2014","false","law","Portugal","PRT","Transportation","1571","Renewable Energy And Biofuels","published"
"1747","base_year_target","reduce its emissions of greenhouse gas emissions to -18% to -23% in 2020 and -30% to -40% in 2030, 2005 figures, contingent on the results of the negotiations.","true","2030","2005","false","law","Portugal","PRT","Economy-wide","8743","Economy Wide","published"
"1746","base_year_target","6% cut in CO2e emissions by 2012 against a 1998 baseline","true","2012","1988","false","law","Poland","POL","Economy-wide","1559","Economy Wide","published"
"1745","base_year_target","63 aggregated energy efficiency ratio by 2020 against a 2000 baseline","false","2020","2000","false","law","Poland","POL","Energy","1559","Energy Efficiency","published"
"1744","base_year_target","30% obliged entity's energy efficiency requirements implemented by 2016, then 20% by 2017, then 10% by 2018","false","2018","2016, 2017, 2018","false","law","Poland","POL","Energy","1561","Energy Efficiency","published"
"1743","base_year_target","30% forest cover by 2020","false","2020","2020","false","law","Poland","POL","LULUCF","1559","Afforestation","published"
"1742","fixed_level_target","356.5 hm3 reduction in---water consumption (to 10100 hm3) by 2020 against a 2010 baseline","false","2020","2010","false","law","Poland","POL","Water","1559","Preservation","published"
"1741","base_year_target","35% biodegradable municipal waste in landfills by 2020 against a 1995 baseline","false","2020","1995","false","law","Poland","POL","Waste","1559","Waste Reduction","published"
"1740","base_year_target","15% final energy consumption from renewables by 2020","false","2020","2020","false","law","Poland","POL","Energy","1559","Renewable Energy","published"
"1739","base_year_target","15% renewable energy of final energy by 2020","false","2020","2020","false","law","Poland","POL","Energy","1564","Renewable Energy","published"
"1738","trajectory_target","35% cut in GHG emissions from biofuels and bioliquids compared to fossil fuels by 2017, then 50% by 2018 against a 2008 baseline","true","2018","2008","false","law","Poland","POL","Energy","2009","Renewable Energy: Biofuels","published"
"1737","base_year_target","10% biofuels in transport by 2020","false","2020","2020","false","law","Poland","POL","Transportation","1564","Renewable Energy And Biofuels","published"
"1704","base_year_target","30% cut in GHG emissions by 2020 against a 1990 baseline","true","2020","1990","false","law","Norway","NOR","Economy-wide","1519","Economy Wide","published"
"1703","base_year_target","40% cut in GHG emissions by 2020 against a 1990 baseline","true","2020","1990","false","law","Norway","NOR","Economy-wide","1519","Economy Wide","published"
"1702","base_year_target","Carbon neutrality by 2030","false","2030","2030","false","law","Norway","NOR","Economy-wide","1519","Economy Wide","published"
"1701","base_year_target","Carbon neutrality by 2050","false","2050","2050","false","law","Norway","NOR","Economy-wide","1519","Economy Wide","published"
"1700","base_year_target","10% overfill Kyoto obligations by 2012 against a 2008 baseline","false","2012","2008","false","law","Norway","NOR","Adaptation","1519",,"published"
"1699","base_year_target","Reduce greenhouse gas emissions by at least 40% by 2030 compared with a 2017 baseline","true","2030","2017","false","law","Norway","NOR","Economy-wide","8686","Economy Wide","published"
"1698","base_year_target","Reduce emissions of urban buses by 100% (2025), of new coaches by 75% (2030), of new trucks by 50% (2030), of urban freight by 100% (2030), of rail by 100% (2030); increase biofuels in aviation by 1% (2019), then 30% (2030) by 2030 against a 2018 baseline","true","2030","2018","false","law","Norway","NOR","Transportation","8691","Public Transport","published"
"1697","base_year_target","Reduce emissions of greenhouse gases by at least 40% by 2030 compared with a 1990 baseline","true","2030","1990","false","law","Norway","NOR","Economy-wide","8689","Economy Wide","published"
"1696","base_year_target","Reduction of emissions by 40% by 2030 compared with a 2005 baseline","true","2030","2005","false","law","Norway","NOR","Economy-wide","8690","Economy Wide","published"
"1499","base_year_target","More than 3.8% reduction by FY2020 compared to by 2020 against a 2005 baseline","false","2020","2005","false","law","Japan","JPN","Economy-wide","8645","Economy Wide","published"
"1498","base_year_target","26% GHG emission reduction by 2030 compared with a 2013 baseline","true","2030","2013","false","law","Japan","JPN","Economy-wide","8645","Economy Wide","published"
"1497","base_year_target","Long-term goal to pursue 80% reduction by 2050 against a 2013 baseline","false","2050","2013","false","law","Japan","JPN","Economy-wide","8645","Economy Wide","published"
"1496","fixed_level_target","Storage battery business will capture a share of 50% in the global storage battery market (20 trillion yen) by 2020 against a 2014 baseline","false","2020","2014","false","law","Japan","JPN","Energy","8646","Energy Storage","published"
"1495","base_year_target","100% diffusion of high efficient light such as LED by FY2030 on stock base  by 2030 against a 2016 baseline","false","2030","2016","false","law","Japan","JPN","Energy","8645","Energy Efficiency","published"
"1494","base_year_target","GOJ continues expanding subjects of Top Runner Program, and regarding highly efficient lighting equipment (e.g. LED lighting and organic EL lighting), we aim to achieve a penetration rate of 100% on a flow basis by 2020 and on a stock basis by 2030 by 2020, 2030 against a 2014 baseline","false","2030","2014","false","law","Japan","JPN","Energy","8646","Energy Efficiency","published"
"1493","trajectory_target","Makes sales of electric vehicles, FCV etc. sales account for 50 to 70% of new automobile sales  by 2030","false","2030","2016","false","law","Japan","JPN","Transportation","8645","E Vs And Electric Trains","published"
"1486","base_year_target","21% cut in GHG emissions by 2020 compared with a 2005 baseline","true","2020","2005","false","law","Italy","ITA","Economy-wide","1385","Economy Wide","published"
"1485","base_year_target","6.5% cut in GHG emissions by 2008-2012 compared with a 1990 baseline","true","2012","1990","false","law","Italy","ITA","Economy-wide","1400","Economy Wide","published"
"1484","base_year_target","Primary energy consumption cut by 24% by 2020","false","2020","2020","false","law","Italy","ITA","Energy","1385","Energy Efficiency","published"
"1483","base_year_target","Renewable energy is 19-20% final consumption by 2020","false","2020","2020","false","law","Italy","ITA","Energy","1385","Renewable Energy","published"
"1482","base_year_target","17% domestic consumption from renewables by 2020","false","2020","2020","false","law","Italy","ITA","Energy","1391","Renewable Energy","published"
"1481","fixed_level_target","No less than .2 KW solar energy capacity for new residential units by N/A compared with a business as usual scenario","false","0","Business as usual scenario","false","law","Italy","ITA","Buildings","1393","Renewable Energy","published"
"1480","fixed_level_target","3,000 MW total installed PV power  by 2016","false","2016","2016","false","law","Italy","ITA","Energy","1394","Renewable Energy: Solar","published"
"1479","trajectory_target","0.1 Mtoe reduction in primary energy consumption (50% from natural gas reduction) by 2002, then 0.5 by 2003, 0.9 by 2004, 1.2 by 2005, 1.6 by 2006 compared with a business as usual scenario","false","2006","Business as usual scenario","false","law","Italy","ITA","Energy","1402","Fuels","published"
"1478","trajectory_target","0.1 Mtoe reduction in primary energy consumption (50% from natural gas reduction) by 2005, then 0.2 by 2006, 0.4 by 2007, 1.0 by 2008, 1.4 2009 compared with a business as usual scenario","false","2009","Business as usual scenario","false","law","Italy","ITA","Energy","1395","Fuels","published"
"1477","trajectory_target","1% biofuel and renewable energy in total fuel by 2005, then 2.5% by 2010","false","2010","2005, 2010","false","law","Italy","ITA","Energy","1396","Renewable Energy: Biofuels","published"
"1476","fixed_level_target","40,000 ton reduction of polluting emissions","true","0","2008","false","law","Italy","ITA","Transportation","1391","General","published"
"1475","base_year_target","Reduce 5.9 MtCO2e of emissions in the building sector by 2030 against a 2016 baseline","true","2030","2016","true","law","Israel","ISR","Buildings","8262","Buildings","published"
"1474","fixed_level_target","10% electricity generation from renewable energy sources by 2020","false","2020","N/A","false","law","Israel","ISR","Energy","8262","Renewable Energy","published"
"1473","fixed_level_target","Reduce the weight of petroleum-based fuels as an energy source in transportationat a rate of approximately 30% by 2020, and by approximately 60% by 2025, against a business as usual scenario","false","2025","2013","false","law","Israel","ISR","Transportation","1371","Fuels","published"
"1317","fixed_level_target","Reduction of EU GHG emissions by at least 30% below 1990 levels by 2020","true","2020","1990","true","law","European Union","EUR","Economy-wide","1204","Economy Wide","published"
"1316","trajectory_target","In 2020, the target is for the emissions from the ETS sectors to be 21% lower than in 2005","true","2020","2009","true","law","European Union","EUR","Economy-wide","1204","Economy Wide","published"
"1315","fixed_level_target","Maximum quantity of hydrofluorocarbons to be placed on the market and corresponding quotas  by 2015, 2030","false","2030","2015","false","law","European Union","EUR","Economy-wide","1198","Economy Wide","published"
"1314","trajectory_target","Reducing by 2050 GHG emissions by 80-95% by 2050 against a 1990 baseline","true","2050","1990","false","law","European Union","EUR","Economy-wide","8570","Economy Wide","published"
"1313","fixed_level_target","At least 40% domestic reduction in greenhouse gas emissions by 2030 compared to 1990 by 2030 against a 1990 baseline","true","2030","1990","true","law","European Union","EUR","Economy-wide","1196","Economy Wide","published"
"1312","fixed_level_target","Reductions in the ETS and non-ETS sectors amounting to 43% and 30% by 2030 compared to 2005 (collective EU target)","true","2030","2005","true","law","European Union","EUR","Economy-wide","1196","Economy Wide","published"
"1311","fixed_level_target","The biofuels and bio-liquids should contribute to a reduction of at least 35% of GHG emissions. From 2017, their share in emissions savings should be increased to 50% by 2020","true","2020","2009","false","law","European Union","EUR","Energy","1204","Renewable Energy: Biofuels","published"
"1310","base_year_target","Union's 2020 20% headline target on energy efficiency by 2020 against a 2012 baseline","false","2020","2012","false","law","European Union","EUR","Energy","1201","Energy Efficiency","published"
"1309","base_year_target","The Union's 2020 energy consumption has to be no more than 1 474 Mtoe of primary energy or no more than 1 078 Mtoe of final energy by 2020 against a 2012 baseline","false","2020","2012","false","law","European Union","EUR","Energy","1201","Energy Efficiency","published"
"1308","base_year_target","Obligated energy distributors and/or retail energy sales companies achieve a cumulative end-use energy savings target by 31 December 2020 at least equivalent 1.5% a year from 2014 to 2020 of the annual energy sales to final customers of all energy distributors or all retail energy sales companies by volume, averaged over the most recent 3-year period prior to 2013 by 2020 against a 2012 baseline","false","2020","2012","false","law","European Union","EUR","Energy","1201","Energy Efficiency","published"
"1307","base_year_target","20% reduction in primary energy use compared with projected levels, by improving energy efficiency by 2020 against a 2009 baseline","false","2020","2009","false","law","European Union","EUR","Energy","1204","Energy Efficiency","published"
"1306","base_year_target","Energy distributors or retail energy sales companies have to achieve 1.5% energy savings per year through the implementation of energy efficiency measures by 2020 against a 2009 baseline","false","2020","2009","false","law","European Union","EUR","Energy","1204","Energy Efficiency","published"
"1305","base_year_target","Every year, governments in EU countries must carry out energy efficient renovations on at least 3% (by floor area) of the buildings they own and occupy by 2020 against a 2009 baseline","false","2020","2009","false","law","European Union","EUR","Buildings","1204","Energy Efficiency","published"
"1304","base_year_target","On 30 November 2016 the Commission proposed an update to the Energy Efficiency Directive, including a new 30% energy efficiency target for 2030 by 2030 against a 1990 baseline","false","2030","1990","false","law","European Union","EUR","Energy","1204","Energy Efficiency","published"
"1303","fixed_level_target","The specific emissions of CO2 of each light commercial vehicle which is designed to be capable of running on a mixture of petrol with 85% bioethanol (E85), and which complies with relevant Union legislation or European technical standards, shall be reduced by 5% by 2015","true","2015","2011","true","law","European Union","EUR","Transportation","1202","Renewable Energy And Biofuels","published"
"1302","base_year_target","An indicative target at the EU level of at least 27% is set for improving energy efficiency in 2030 compared to projections of future energy consumption based on the current criteria by 2030 against a 2014 baseline","false","2030","2014","false","law","European Union","EUR","Energy","1196","Energy Efficiency","published"
"1301","fixed_level_target","An EU target of at least 27% is set for the share of renewable energy consumed in the EU by 2030","false","2030","2014","false","law","European Union","EUR","Energy","1196","Renewable Energy","published"
"1300","fixed_level_target","20% of EU energy consumption to come from renewable resources by 2020","false","2020","2009","false","law","European Union","EUR","Energy","1204","Renewable Energy","published"
"1299","fixed_level_target","Average emissions of 147 gCO2/km for the average emissions of new light commercial vehicles registered in the Union subject to confirmation of its feasibility, as specified in Article 13(1) by 2020","true","2020","2011","true","law","European Union","EUR","Transportation","1202","General","published"
"1298","fixed_level_target","At least 10% share of renewables in final energy consumption in the transportation sector by 2020","false","2020","2009","false","law","European Union","EUR","Transportation","1204","Renewable Energy And Biofuels","published"
"1297","fixed_level_target","Average emissions of 95 g CO2/km as average emissions for the new car fleet, in accordance with Article 13(5) by 2020","true","2020","2009","true","law","European Union","EUR","Transportation","1205","General","published"
"1296","intensity_target","Reducing the GHG intensity of fuels used in vehicles for transportation by 10% by 2020 against a 2009 baseline","true","2020","2009","false","law","European Union","EUR","Transportation","1212","Fuels","published"
"1295","fixed_level_target","Reduce CO2 emissions by 50% and NOx by 80% by 2020 against a 2007 baseline","true","2020","2007","true","law","European Union","EUR","Transportation","1213","General","published"
"1294","trajectory_target","Increasing aircraft fuel efficiency, thus reducing CO2 emissions by 20 to 30% compared to state-of-the-art aircraft entering into service as from 2014 by 2020","true","2020","2014","true","law","European Union","EUR","Transportation","1213","Efficiency; Aviation","published"
"1293","fixed_level_target","Manufacturer's average emissions to be reduced yearly by 2014-2020 against a 2011 baseline","true","2020","2011","false","law","European Union","EUR","Transportation","1202","General","published"
"1292","fixed_level_target","Biofuel GHG emissions must be &gt;35% lower than the fossil fuel they are replacing by 2017, 2018 against a 2015 baseline","true","2018","2015","false","law","European Union","EUR","Transportation","1212","Renewable Energy And Biofuels","published"
"1228","base_year_target","20% GHG emissions reduction from non-EU ETS sectors and 21% from EU ETS sectors by 2020 against a 2005 baseline","true","2020","2005","false","law","Denmark","DNK","Economy-wide",,"Economy Wide","published"
"1227","base_year_target","39% GHG emissions reduction from non-EU ETS sectors by 2030 against a 2005 baseline","true","2030","2005","false","law","Denmark","DNK","Economy-wide","1152","Economy Wide","published"
