"Id","Title","Document type","Geography iso","Geography","Jurisdiction","Citation reference number","Summary","Sectors","Responses","Keywords","At issue","Visibility status","Legislation ids"
"7469","Dougherty Bros Pty Ltd v Outline Planning Consultants Pty Ltd","Case","AUS","Australia","Land and Environment Court","[2016] NSWLEC 72; 216 LGERA 144","<div>In hearings held from May 16 to May 18, 2016, Dougherty Bros Pty Ltd challenged a determination of the Joint Regional Planning Panel (“JRPP”) to grant development consent to Yamba Residential Subdivision Pty Limited for a lot. Dougherty Bros own another lot in the subdivision. The JRPP relied on the Environmental Planning and Assessment Act 1979 s 23G(2)(a) as consent authority under the Clarence Valley Council.<br><br></div><div>The development was for 161 residential lots including bulk earthworks and filling of land, associated tree removal, earthworks and landscaping and planting on one of the component lots. In a decision issued on June 16, 2016, the Court dismissed the amended summons, citing a lack of evidence provided by the applicant to demonstrate there was not the proper consideration of potential flood hazards. The assessment performed took into account the impacts of climate change.</div>","Buildings","Adaptation, Disaster Risk Management","Buildings, Flooding","<div>Plaintiffs challenged building permit on climate change grounds.</div>","Published",""
"7468","Cherry Tree Wind Farm Pty Ltd v Mitchell Shire Council","Case","AUS","Australia","Civil and Administrative Tribunal","[2013] VCAT 521","<div>Cherry Tree Wind Farm Pty Ltd applied to review a decision by the Mitchell Shire Council to fail to grant an application for a wind farm. The application had been denied because the consent of two landowners who were constructing dwellings within 2 kilometers of the proposed turbine had not been obtained. The Tribunal decided to adjourn the final determination for the matter pending the outcome of a study to be conducted by the EPA of South Australia in an order dated April 4, 2013.&nbsp;<br><br></div><div>In hearings between January 29 and March 18, 2013, the Tribunal considered state policy on renewable energy, as well as potential health problems of the sound pressure emissions from the farm. The tribunal decided that their deliberations must start with the proposition that renewable energy facilities, including wind farms, should be encouraged and promoted. As such, the Tribunal determined that its role was to strike a balance with the renewable energy facilities to achieve minimal impact to the area.</div>","Energy","Mitigation","Renewables","<div>Challenge to wind farm</div>","Published",""
"7467","Charles & Howard Pty Ltd v Redland Shire Council","Case","AUS","Australia","Planning and environment court","[2006] QPEC 095","<div>Charles &amp; Howard Pty Ltd appealed a decision in regards to an application to the Council for preliminary approval to build a detached house on a site, arguing that climate change had not been adequately considered. On November 7, 2005, the applicant filed an application for approval to place filling on a lot to build the house. The Council then filed an information request on November 21, 2005. Preliminary approval was granted, subject to conditions on January 19, 2006.&nbsp;<br><br></div><div>In a judgement delivered on August 25, 2006, the Court dismissed the appeal. The court considered how the desired location would have affected flood risks, habitat protection, as well as the impacts of climate change, including increased storm tide flooding.</div>","Buildings","Adaptation, Disaster Risk Management","Buildings","<div>Plaintiff challenged building approval on climate grounds.</div>","Published",""
"7466","Australian Conservation Foundation Incorporated v Minister for the Environment and Energy","Case","AUS","Australia","Federal Court of Australia","[2017] FCAFC 134 (2)","<div>The Australian Conservation Foundation Incorporated filed a judicial review challenge in a suit against the Minister for the Environment and Energy and Adani over the development of a coal mine in the lower suit. The ACF appealed the decision dismissing the judicial review challenge. Adani proposed to develop and operate a coal mine and associated infrastructure in Central Queensland. The ACF alleged error by the Minister in failing to determine the impact of combustion emissions on the Great Barrier Reef under s 527E of the Environmental Protection and Biodiversity Conservation Act 1999. The Minister had approved the coal mine project on October 14, 2015.<br>The Act requires consideration of the proposal in connection with, among other things, its effects upon the environment. There is a prohibition upon the taking of action that has, will have, or is likely to have a significant impact on the environment. The ACF claimed that the Minister made an error of law in failing to consider the effect of emissions from transport by rail, shipping, and combustion of the product coal overseas, in characterising these emissions as “not a direct consequence of the proposed action,” and in failing to consider or apply the precautionary principle in relation to the possible impacts on relevant matters of national environmental significance. The court upheld the lower court’s findings that the Minister’s reasons reflected a proper discharge of his statutory duty in a judgement issued on August 25, 2017.<br><br></div><div>However, in a judgement issued December 15, 2017, the Court accepted that matters concerning the Reef and climate change were important to Australians. It ordered that the appellant pay each respondent’s costs of the appeal.</div>","Energy","Mitigation","Coal Mining","<div>Environmental group challenged coal mine</div>","Published",""
"7465","0907346 [2009] RRTA 1168","Case","AUS","Australia","Refugee Review Tribunal","0907346 [2009] RRTA 1168","<div>The applicant sought review of the Minister for Immigration and Citizenship delegate’s decision to refuse to grant the applicant a Protection (Class XA) visa under s.65 of the Migration Act 1958. The applicant claimed to be a citizen of Kirbati, which is a pacific country made of a series of islands threatened by sea level rise. The applicant had last arrived in Australia in December 2007 and applied for the visa in May 2009. The delegate decided to refuse the visa in August 2009. The applicant applied for a review of the decision in September 2009.&nbsp;<br><br></div><div>Australia is a party to the Refugees Convention, which defines a refugee as: being outside his country; fearing persecution involving serious harm and systematic and discriminatory conduct; fearing that persecution because of his race, religion, nationality, membership of a particular social group, or political opinion; and having that fear be well-founded.<br><br></div><div>The applicant claimed that some of the Kirbati islands are disappearing due to climate change and sea-level rise, and the future of the country is disappearing due to climate change. The applicant claimed that the main livelihood is ruined and destroyed on the islands, as well as the freshwater supply. The Court found that the continued production of carbon emissions that cause climate change is not sufficient to constitute persecution under the Refugee Convention in a decision issued on December 10, 2009 as there was no evidence that the persecution the applicant was fearing was occurring because of his membership to any particular group.</div>","Coastal zones","Loss And Damage","Climate Refugee","<div>Applicant sought protection under Refugee Act due to sea level rise.</div>","Published",""
"7464","Australasian Centre for Corporate Responsibility (ACCR) v Commonwealth Bank of Australia","Case","AUS","Australia","Federal Court of Australia","[2015] FCA 785; 325 ALR 736 (1)","<div>The Australasian Centre for Corporate Responsibility filed an application of October 14, 2014 against the Commonwealth Bank of Australia, seeking declarations that their proposed resolutions relating to greenhouse gas emissions could be validly moved at the annual general meeting of the Commonwealth Bank of Australia pursuant to s 249N of the Corporations Act 2001.<br><br>The resolutions included requiring the company to create and release a report detailing their greenhouse gas emissions and plans to mitigate the emissions, and requiring the company to create and release a report detailing the risks posed by climate change to the bank and mitigation strategies the bank would adopt.<br><br>The Court rejected the proposed resolutions under the Corporations Act in a judgment issued on July 31, 2015. The Court found that shareholders do not have the authority to propose resolutions that relate to the management of a company unless the company’s constitution so allows.<br><br>The Australasian Centre for Corporate Responsibility filed an appeal of the lower court’s judgement in favor of the Commonwealth Bank of Australia. The Court rejected the proposed resolutions under the Corporations Act in a judgement issued on June 10, 2016 reaffirming the lower courts judgement. The Court found that shareholders do not have the authority to propose resolutions that intrude on the management of the company.</div>","Other","Mitigation","Finance","<div>Plaintiffs sought climate disclosures</div>","Published",""
"7462","O’Donnell v. Commonwealth","Case","AUS","Australia","Federal Court of Australia","","<div>On July 22, 2020, Equity Generation Lawyers filed a lawsuit in the Federal Court on behalf of Kathleen (Katta) O'Donnell against the Australian government. The lawsuit alleges that Australia's economy and reputation in international financial markets will be significantly affected by the adequacy of the Australian government’s response to climate change, and that as a result investors who trade in Australian government bonds face material risks from climate change that should be disclosed. The lawsuit further alleges that that government breached its duty of disclosure and misled and deceived investors in failing to disclose such risks.&nbsp;<br><br></div><div>O'Donnell seeks to represent other holders of and investors in Exchange-traded Australian Government Bonds who have the same interest in the proceeding. She seeks declarations that the Commonwealth has breached the law and an injunction from the Federal Court to prevent further promotion of bonds without informing investors about climate change risks.</div>","Economy-wide","","Finance, Climate Change Risks","<div>Holder of Australian bonds sued government to disclose climate risks.</div>","Published",""
"7460","Development YES – Open-Pit Mines NO v. Group PZU S.A.","Case","POL","Poland","National Point of Contact for the OECD Guidelines","","<div>Development YES, a grassroots foundation working on anti-coal and anti-lignite activism in Poland, filed a specific instance against PZU in August 2018. The complaint concerned the indirect impact of the activities of PZU on climate change and lack of transparency in information regarding PZU’s CO2 emissions and the impact of financially insuring the coal mining sector in Poland.<br><br></div><div>The Polish National Contact Point for OECD Guideines for Multinational Enterprises (NCP) in its initial assessment accepted the case and directed the parties to proceedings. Although the NCP classified the initial assessment and the proceedings until the final assessment, it advised against adopting such practice.<br><br></div><div>Both parties were willing to engage in dialogue, and PZU submitted a letter committing to publish information relating to the environmental impact of its activities in their 2018 non-financial report. Subsequently Development-YES and PZU reached an agreement in April 2019.&nbsp;<br><br></div><div>In its final assessment, the Polish NCP recommended PZU to continue to honour commitments made to Development-YES, with particular regard to disclosing relevant non-financial information in the future and adopting policies that respect human rights and the environment.</div>","Energy","Mitigation","Coal Mining","<div>Complaint brought against Polish coal company under OECD National Guidelines.</div>","Published",""
"7415","Hearing on Climate Change Before the Inter-American Commission on Human Rights","Inquiry","INT","International","Inter-American Commission on Human Rights","","<div>On May 22, 2020, the Inter-American Commission on Human Rights heard presentations from representatives of a number of civil society organizations about the impacts of climate change on the human rights of indigenous peoples, women, children, and rural communities. The organizations stated that human rights impacts can occur during the emission of greenhouse gases, due to the effects of extreme climate events, and in the response to climate change. The request for hearing was filed by Fundación Pachamama (Ecuador), Dejusticia (Colombia), EarthRights International (regional), AIDA (regional), FUNDEPS (Argentina), FIMA (Chile), DPLF (regional), IDL (Peru), CELS (Argentina), Engajamundo (Brazil), AHCC (Honduras), Conectas (Brazil), FARN (Argentina), CEMDA (México), and La Ruta del Clima (Costa Rica).<br><br></div><div>The petitioners urged the Commission to recognize the climate crisis as a priority that threatens human rights and ecosystems; advance petitions and precautionary measures related to climate change and its response measures; urge states to protect and guarantee the rights of actors who work to defend human rights; call on states to aim for more ambitious climate action through the 2020 nationally determined contributions; and emphasize the responsibility of businesses to respect human rights in the context of climate change. The organizations further requested that the Commission urge states in the region to take action to stop activities that aggravate climate change and threaten the effective enjoyment of human rights; promote energy transition models that guarantee economic, social, cultural, and environmental rights, especially of indigenous peoples, children and youth, women, and rural communities; take specific measures to guarantee access to information related to the impacts of climate change and its response measures; and promote gender equality. In May 2020 the petitioners published a report regarding their requests.</div>","Other","Mitigation, Adaptation","Human Rights","<div>Civil society groups asked IACHR to promote climate policies that protect human rights.</div>","Published",""
"7412","Bushfire Survivors for Climate Action Incorporated v Environment Protection Authority","Case","AUS","Australia","Land and Environment Court","","<div>On April 20, 2020, Bushfire Survivors for Climate Action brought a civil enforcement proceeding to compel the New South Wales Environmental Protection Authority to regulate greenhouse gas emissions. The plaintiffs, represented by the New South Wales Environmental Defenders Office, are Australians who allege that they have been harmed by bush fires made likely or more intense by climate change. According to news reports, the case was brought under the New South Wales Protection of the Environment Operations Act 1997, which requires the Environmental Protection Authority to “develop environmental quality objectives, guidelines and policies to ensure environment protection."" The summons alleges that, although the New South Wales Climate Change Policy framework endorses the Paris Agreement and contains an aspirational long-term objective to achieve net zero emissions by 2050, the New South Wales Environmental Protection Authority has failed to develop guidelines or a policy to regulate greenhouse gases consistent with limiting global temperature rise to 1.5 degrees Celsius.&nbsp;<br><br></div><div>On June 4 the respondent filed its points of defense, asserting that it has complied with its duty by developing guidelines and policies from time to time to address greenhouse gas emissions.<br><br>On November 4, 2020, the Court issued an order allowing testimony from the plaintiff's expert, Australian Chief Scientist Professor Penny Sackett, on climate change, including whether emissions trajectories in New South Wales and Australia are on track to limit warming to 1.5 degrees. According to the plaintiffs, this marks the first time an Australian court has ruled on whether climate evidence can be heard in a case alleging the government's failure to perform their statutory duty.</div>","Economy-wide","Mitigation, Loss And Damage","Wildfire","<div>Bush fire victims sought to compel greenhouse gas regulation</div>","Published",""
"7410","Youth Verdict v. Waratah Coal","Case","AUS","Australia","Queensland Land Court","","<div>On May 13, 2020, the environmental group Youth Verdict lodged an objection to the proposed Galilee Coal Project in the Queensland Land Court. According to news reports, the plaintiffs allege that by contributing to climate change the mine will infringe on their right to life, the protection of children, and the right to culture as protected by the Queensland Human Rights Act. The Galilee Coal Project has received federal and state approval but needs to be assessed by the Queensland Land Court before the final state environmental authority can be issued.</div><div><br></div>","Energy","Mitigation","Coal","<div>Australian youth challenged proposed coal mine on human rights grounds.</div>","Published",""
"7409","Armando Ferrao Carvalho and Others v. The European Parliament and the Council","Case","EUR","European Union","European Union","Case no. T-330/18","<div>Ten families, including children, from Portugal, Germany, France, Italy, Romania, Kenya, Fiji, and the Swedish Sami Youth Association Sáminuorra, brought an action in the EU General Court seeking to compel the EU to take more stringent greenhouse gas (ghg) emissions reductions. Plaintiffs allege that the EU’s existing target to reduce domestic ghg emissions by 40% by 2030, as compared to 1990 levels, is insufficient to avoid dangerous climate change and threatens plaintiffs’ fundamental rights of life, health, occupation, and property.<br><br></div><div>The lawsuit has two major components. First, plaintiffs bring a nullification action, asking the court to declare three EU legal acts as void for failing to set adequate ghg emissions targets. The three EU legal acts are: Directive 2003/87/EC governing emissions from large power generation installations (ETS); regulation 2018/EU on emissions from industry, transport, buildings, agriculture, and etc. (ESR); and regulation 2018/EU on emissions from and removals by land use, land use change, and forestry (LULUCF). Plaintiffs argue that inadequate emissions reductions violate higher order laws that protect fundamental rights to health, education, occupation, and equal treatment as well as provide obligations to protect the environment. These higher rank laws include: the EU Charter of Fundamental Rights (ChFR), the Treaty on the Functioning of the European Union (TFEU), the United Nations Framework Convention on Climate Change (UNFCCC), and the Paris Agreement. Plaintiffs ask the court to order that the three emissions reductions laws remain in force until improved versions of the Acts can be enacted. Art. 263 of the Treaty on the Functioning of the EU (TFEU) is the basis for this procedural action.<br><br></div><div>The second action concerns non-contractual liability. Article 340 of the TFEU provides a mechanism for injunctive relief when three conditions are met: 1) there is an unlawful act by the EU institution(s), 2) the unlawful act is a serious breach of a law that protects individual rights, and 3) there is a sufficient causal link between the breach and the damages.<br><br></div><div>Demanded relief is an injunction to compel the EU to set more stringent ghg emissions reductions targets through the existing framework of the ETS, ESR and LULUCF regimes in order to bring the EU into compliance with its legal obligations. Plaintiffs assert this would require a 50%-60% reduction in ghg emissions below 1990 levels by 2030 or whatever level the court finds appropriate.&nbsp;<br><br></div><div>The European General Court did not rule on the merits, but dismissed the case on procedural grounds, finding that the plaintiffs could not bring the case since they are not sufficiently and directly affected by these policies (“direct and individual concern” criterion). The court concluded that the plaintiffs did not have standing to bring the case because climate change affects every individual in one manner or another and case law requires that plaintiffs are affected by the contested act in a manner that is “peculiar to them or by reason of circumstances in which they are differentiated from all other persons, and by virtue of these factors distinguishes them individually.” The court rejected plaintiffs’ argument that the interpretation of the concept of ‘individual concern’ referred to in the fourth paragraph of Article 263 TFEU is not compatible with a fundamental right to effective judicial protection under Article 47 of the Charter of Fundamental Rights. Nor did the court find that plaintiffs could bring the case under the other possible criteria under the fourth paragraph of Article 263 of the TFEU which would require that they were direct addressees of the legislative package in question or they contested a regulatory act that was of direct concern to them.<br><br></div><div>The plaintiffs appealed to the European Court of Justice on July 11, 2019, arguing that the EU General Court erred in concluding that plaintiffs lacked standing under Article 263, and by holding that plaintiffs needed to establish standing under Article 263 in order to bring a claim for non-contractual liability.</div>","Economy-wide","Mitigation","European Parliament, Council, People's Climate Case","<div>Action seeking an injunction to order the EU to enact more stringent greenhouse gas emissions reduction targets through existing programs.</div>","Published","1217"
"7407","In re Vienna-Schwechat Airport Expansion","Case","AUT","Austria","Austria","W109 2000179-1/291E; E 875/2017","<div>Various NGOs and individuals persuaded a panel of the Austrian Federal Administrative Court to overturn the government of Lower Austria's approval of construction of a third runway at Vienna's main airport. The reason: authorizing the runway would do more harm to the public interest than good, primarily because it would be contrary to Austria's national and international obligations to mitigate the causes of climate change. Of the authorities cited by the court, the most important was Austria's Climate Protection Act of 2011, which set emissions reduction targets for various sectors, including the transport sector. Because a third runway was expected to increase Austria's annual CO2 emissions, the court concluded that it would be at odds with the provisions of the 2011 Act as well as with Austria's constitution and its international commitments under EU law and the Paris Agreement.&nbsp;<br><br>The Austrian Constitutional Court overturned the Federal Administrative Court's decision in June 2017, citing multiple errors that led the lower court to improperly give weight to climate change and land use considerations in the balancing test it used to consider the public's interest in a third runway. The errors identified by the Constitutional Court included: - misconstruing the Air Traffic Law's instruction to consider environmental protection over-broadly by factoring in environmental impacts beyond those directly attributable to air traffic; - wrongly including in emissions projections aircraft emissions attributable to flight segments other than landing and takeoff; - improperly superimposing regional greenhouse gas emissions reduction targets on an analysis of legal rights and obligations under the federal Air Traffic Law; and - misapplication of the Kyoto Protocol and Paris Agreement, which the Constitutional Court explained are the source of international obligations for Austria but are not generally applicable in the domestic legal context (""sie erzeugen daher nur eine völkerrechtliche Verpflichtung Osterreichs und sind innerstaatlich nicht unmittelbar anwendbar"").&nbsp;<br><br></div><div>&nbsp;In March 2018, the Administrative Court issued a new decision that approves construction of the third runway.&nbsp;</div>","Transportation","Mitigation","","<div>Prevent construction of third runway at Vienna's airport</div>","Published",""
"7404","Norwegian Climate Network et al vs Statoil","Case","NOR","Norway","National Point of Contact for OECD Guidelines","","<div>Norwegian Climate Network and Concerned Scientists Norway filed a complaint alleging that Statoil ASA was in breach of the OECD guidelines owing to its investment in the oil sands in Alberta. The complaint alleged that this contributed to the violation of international obligations undertaken by Canada to reduce greenhouse gas emissions between 2008 and 2012. It was asserted that the oil sands in Canada must not be exploited in an effort to achieve climate stability.<br><br></div><div>Statoil responded that it was outside the mandate of the NCP to determine the legal compliance of Canada. The NCP rejected the case in its initial assessment, but highlighted the risk posed by oil sands operation to the climate and the environment.</div>","Energy","Mitigation","Energy Supply, Oil","<div>Effect of Statoil’s investment in oil sands project in maintaining climate stability</div>","Published",""
