"Id","Law Id","Title","Legislation type","Description","Parent","Geography","Geography iso","Sector","Frameworks","Responses","Document types","Keywords","Natural hazards","Visibility status"
"8878","","Presidential Decree No. 45/18 approving the Statute of the Ministry of Environment (MINAMB)","executive","This Presidential Decree modifies the structure and functions of the Ministry of Environment (MINAMB) in order to respond to the new challenges the Executive faces in this area. It consists of 33 articles divided into four Chapters and three Annexes, and it establishes the composition, duties and responsibilities of MINAMB.

As part of the modifications it creates a Climate Change Cabinet, in charge of promoting and coordinating climate change adaptation and mitigation projects/programs. It also establishes a National Environment Fund.

This document replaces <a href=""http://www.lse.ac.uk/GranthamInstitute/law/presidential-decree-85-14-which-approves-the-statute-of-the-ministry-for-environment-minamb/"">Presidential Decree 85/14</a>","","Angola","AGO","Residential and Commercial","","Adaptation","Decree","Redd+ And Lulucf, Energy Supply, Institutions / Administrative Arrangements, Energy Demand, Research And Development","","published"
"8884","","Executive Decree No. 304/14 approving the Regulation of the Cabinet of the National Directorate of Rural Electrification","executive","This Executive Decree approves the Regulation of the Cabinet of the National Directorate of Rural Electrification. This Regulation, consisting of six Chapters and 1 Annex, establishes composition, duties and responsibilities of the above mentioned institution, entitled to: coordinate and streamline the country's electrification process, setting out its tasks and regulating its organisational structure in general. Part of its duties is to promote renewable energies for rural areas.","","Angola","AGO","","","","Decree","Energy Supply, Institutions / Administrative Arrangements","","published"
"8888","","Resolution No. 122/09 approving the Strategy for the Development of Biofuels in Angola","executive","This Resolution approves the Strategy for the Development of Biofuels in Angola and presents the Strategy. The Ministries of Agriculture, Urbanism, Environment, Industry, Petroleum and Energy, are in charge of developing and submit to the Government the National Program for Biofuel Production.

The Strategy aims to contribute to rural development through the following activities: economic integration of national agricultural producers and rural communities in the biofuel production chain; meet some of the national energy needs, promoting energy diversification; preserve the environment; contribute to the diversification of the economy and analyse the advantages and disadvantages of the production of biofuels. The country also expects to be able to join carbon markets in the framework of the Kyoto Protocol.","","Angola","AGO","Transportation;Energy;Economy-wide;Agriculture","","","Strategy, Resolution","Energy Supply","","published"
"8900","","Angola Energy 2025","executive","The Strategy Angola Energia 2025 assesses the main long-term options and establishes the Government's atlas and vision for development of the electricity sector in the 2018-2025 horizon, identifying priority investments in generation, transmission and interconnection, as well as the distribution and network expansion model up until 2025.

The document analyses both the supply and demand sides of the energy sector, proposing a 2025 vision and atlas. Annexes include a list a list of priority investments over the 2018-2025 horizon and a list of grid connected municipality capitals by 2025.","","Angola","AGO","Energy","","Mitigation","Strategy","Mitigation, Energy Supply, Energy Demand","","published"
"8952","","Drainage and Flood Control Law, 5718-1957","legislative","The Drainage and Flood Control Law of 1957 regulates operations aimed at concentrating, storing, conveying or removing surface or other water harmful or likely to be harmful to agriculture, public health, the development of the country or the maintenance of regular services in the State, the drying of marshes and protection from and prevention of flooding, but does not regulate the treatment of sewage water. The Law contains 63 articles, divided into 5 Chapters.","","Israel","ISR","Water;Health;Agriculture","","Adaptation","Law","Water Management","","published"
"9084","","Decree No. 4.819 - Creates the Adaptation Fund","executive","This Decree creates the Adaptation Fund, whose purpose will be the recovery, construction and reconstruction of the areas affected by the 'La Niña' phenomenon, with legal status, budgetary and financial autonomy, attached to the Ministry of Finance and Public Credit.

The purpose of the Fund is the identification, structuring and management of projects, execution of contractual processes, provision and transfer of resources for the recovery, construction and reconstruction of infrastructure (transport, telecommunications), public and social services, housing, economic rehabilitation and other sectors affected by the rainy season and other actions that are required on the occasion of the phenomenon of ""La Niña"", and prevent its long-lasting effects. It will also aim mitigate and prevent risks, and to protect the population from economic, social and environmental threats.","","Colombia","COL","Transportation;Residential and Commercial","","Adaptation","Decree","","","published"
"8809","","Basic Act for National Resilience Contributing to Preventing and Mitigating Disasters for Developing Resilience in the Lives of the Citizenry","legislative","This law defines the Japanese government's responsibility for making the country as a whole more resilient to large-scale disasters. It also defines the basic legal principles of resilience and mandates the government to develop a range of policies to implement resilience initiatives. Most importantly, it stipulates that the government must create a Fundamental Plan for National Resilience, designed to be a comprehensive and systematic document to guide all other resilience plans, policies, and strategies. Lastly, this law also establishes the National Resilience Promotion Headquarters within the Cabinet Office. The Headquarters is to be responsible for creating the Fundamental Plan for National Resilience and overseeing all national resilience initiatives in Japan.","","Japan","JPN","","","Adaptation, Disaster Risk Management","Law","Institutions / Administrative Arrangements, Disaster Risk Management","","published"
"8960","","Israel National Plan for the Implementation of the Paris Agreement","executive","This document outlines Israel's plan for implementation of the Paris Agreement, signed by Israel in April 2016, in relation to the following central subjects: i) Reduction of GHG emissions, the country set a national target of reducing GHG emissions to 8.8 tons CO2 equivalent per capita by 2025 and 7.7 tons CO2e per capita by 2030; ii) Monitoring and Control; iii) International Financing; iv) Accompanying the International Negotiations; v) Training Program.

The main focus of the Plan is mitigation.","","Israel","ISR","","","Mitigation","Plan","Mitigation, Industry","","published"
"9094","","Decree No. 1.807 on risk management in land-use planning","executive","This Decree establishes the conditions and scales of detail to gradually incorporate risk management in the review of medium and long-term contents of municipal and district land use plans or in the issuance of a new land-use plan.","","Colombia","COL","LULUCF","","Mitigation, Adaptation","Decree","Lulucf","","published"
"9098","","Policy for the Defense Sector in Disaster Risk Management (Resolution No. 10.043)","executive","This Resolution adopts the Policy for the Defense Sector in Disaster Risk Management. The policy aims to contribute to the timely attention of natural disasters and catastrophes defined in the Comprehensive Security and Defense Policy for Prosperity.","","Colombia","COL","","","Adaptation, Disaster Risk Management","Policy, Resolution","","","published"
"9102","","Decree No. 4.147 creating the National Unit for Disaster Risk Management","executive","This Decree creates the National Unit for Disaster Risk Management (UNGRD), which aims to direct the implementation of disaster risk management, addressing sustainable development policies, and coordinate the operation and continuous development of the National System for Disaster Prevention and Attention (SNPAD).

The Decree is divided in three chapters, and it presents the structure of the UNGRD and its functions and responsibilities.","","Colombia","COL","","","Adaptation, Disaster Risk Management","Decree","","","published"
"9110","","National Policy for Climate Change","executive","The National Policy for Climate Change aims to incorporate climate change management into public and private decisions to advance in a climate-resilient and low-carbon development path that reduces the risks of climate change and allows opportunities to be seized. The long-term objective is for the country to be carbon neutral.","","Colombia","COL","Transportation","","Mitigation, Adaptation","Policy","Mitigation","Droughts, Floods, Cyclones, Tsunamis, Storms, Hurricanes, Wildfires, Sea Level Rise, Cold Waves, Landslides","published"
"9185","","Natural Damage Insurance Act","legislative","This law establishes an insurance scheme for natural disasters in Norway. It requires that, if property is insured against fires it also be insured against all other natural hazards. It establishes a risk pool that includes both private insurance companies and the government.","","Norway","NOR","","","Adaptation, Disaster Risk Management","Law, Act","Institutions / Administrative Arrangements","","published"
"8775","","Disaster Risk Reduction Policy for the Australian Aid Program","executive","The main goal of this policy is to mainstream disaster risk reduction and management into Australia's foreign aid projects. It especially seeks to encourage capacity building through staff education and training, technical support for knowledge/skills development, and coordination of disaster risk reduction and management with climate change adaptation measures.","","Australia","AUS","Residential and Commercial","","Adaptation, Disaster Risk Management","Policy","","","published"
"8864","","Presidential Decree No. 29/16 approving the National Plan for the preparation, resilience, response and recovery from natural disasters 2015-2017","executive","This Presidential Decree approves the National Plan for the preparation, resilience, response and recovery from natural disasters for the period 2015-2017. This National Plan, consisting of 6 Sections, containing maps and tables, establishes the disaster risks and the steps to be taken while a natural emergency is occurring over the National territory, including droughts, floods, fires, etc. This Strategic Plan aims to contribute to the country's sustainable development process, by reducing vulnerability to disaster.","","Angola","AGO","Water;Residential and Commercial","","Adaptation, Disaster Risk Management","Plan","Institutions / Administrative Arrangements","","published"
"8801","","Fundamental Plan for National Resilience","executive","This plan defines four overarching principles governing resilience in Japan: preventing loss of life, maintaining state and society functions, minimizing property damage, and achieving swift recovery. The policies planned for by the Japanese government place special emphasis on combining ""hard"" and ""soft"" adaptation measures. Examples include developing disaster management facilities, resilient construction, emergency drills, and disaster management education. Additionally, this plan outlines procedures for conducting vulnerability assessments, different mechanisms for promoting resilience in different sectors and at different levels of government, and the process for reviewing national and subnational resilience plans.","","Japan","JPN","","","Adaptation, Disaster Risk Management","Plan","Institutions / Administrative Arrangements, Buildings, Industry","","published"
"8862","","Presidential Decree No. 46/14 approving the National Action Programme to fight Desertification","executive","This Presidential Decree, consisting of 4 articles and 1 Annex, approves the National Action Programme against Desertification (PANCOD). The Program is included in the Annex and consists of 11 sections, providing a broad introduction and background of the desertification issues, objectives and principles of the Program and its main lines of action. It is in line with the United Nations Convention to Combat Desertification (UNCCD), which was ratified by Angola in 1997.

The program aims to be a social participatory process, including different stakeholders in the definition of objectives and actions, to deepen the knowledge of desertification processes and droughts in order to develop guidelines and strategies for their prevention and control. It presents three main lines of action: 1) Reduction of poverty and social inequality; 2) Increasing productivity of dry areas vulnerable to desertification through conservation and preservation of natural resources; 3) Institutional capacity building.","","Angola","AGO","Water;Social development;LULUCF;Residential and Commercial","","Adaptation","Decree","Institutions / Administrative Arrangements","","published"
"8876","","Presidential Decree No. 126/17 approving the National Water Plan","executive","This National Water Plan (NAP), is a document that defines integrated and articulated, guidelines and strategies related to water resources management, inventory of significant issues, definition of planning scenarios and the definition of short, medium and long-term measures and actions for the water cluster in Angola. It has four main action lines which focus on promoting investment in the 'water cluster' of the country, strengthening institutional capacities and developing public-private partnerships.

The water plan presents a biophysical, economic, social, legal, environmental and institutional characterisation of the water sector in Angola. In addition, it focuses on: identifying and quantifying the different uses of water, characterising water resources in quantity and quality at the national and regional level, make a hydric balance at the national and regional level, identifying situations of water stress and possible conflicts related to water use, assess the impact of climate change on water resources, and define a financial program for the short (2017), medium (2025) and long-term (2040).","","Angola","AGO","Water;Residential and Commercial","","","Decree","Water Management, No Adequate Category","","published"
"8882","","Executive Decree No. 303/14 on the National Directorate of the Ministry of Renewable Energy","executive","This Executive Decree approves the internal regulation of the National Directorate for Renewable Energy (DNER) attached to the Ministry of Energy and Water and presents said internal regulation. The Regulation, consisting of five Chapters and 1 Annex, establishes composition, duties and responsibilities of the above-mentioned institution, setting out its tasks and regulating its organisational and operational functions.

The DNER is responsible for the promotion, validation and implementation of policies in the renewable energy sector, and in general terms it is entitled to design, promote, evaluate, implement and monitor the renewable energy sector policies.","","Angola","AGO","Energy","","","Decree","Institutions / Administrative Arrangements","","published"
"8789","","Basic Environment Plan","executive","Japan's Basic Environmental Plan defines the principles that govern the implementation of environmental policies in Japan, especially with respect to climate change policies. It also outlines the current policy frameworks in place for government environment- and climate change-related policy matters and proposes new areas of priority for the government. The policy priorities related to climate change the plan lists include:
<ul>
<li>Promoting research and development of emissions reduction technologies</li>
<li>Promoting energy conservation</li>
<li>Promoting adaptation measures in regional agriculture and disaster prevention sectors</li>
<li>Implementing national policy frameworks, such as the Plan for Global Warming Countermeasures.</li>
</ul>","","Japan","JPN","Energy;Agriculture","","Adaptation, Disaster Risk Management","Plan","Energy Supply, Energy Demand, Research And Development","","published"
"8787","","Ministry of Land, Infrastructure, Transport and Tourism Climate Change Adaptation Plan","executive","The Japanese government's climate change adaptation policy governing land use, urban development, transportation, housing, and construction outlines the overarching principles of adaptation. These include dealing with uncertainty, considering future risk, considering hard and soft adaptation measures, mainstreaming climate change in business planning, considering green solutions, and considering local and regional contexts. It also outlines the current and future measures the government plans to take to adapt to climate change, including:
<ul>
<li>Strengthening flood defenses</li>
<li>Conducting risk assessments</li>
<li>Improving disaster response and recovery in local communities</li>
<li>Improving monitoring and forecasting of disasters</li>
<li>Release more accessible information about climate-related disasters to the public</li>
<li>Encouraging the use of disaster-resilient construction techniques</li>
<li>Promoting land use practices that increase resilience</li>
<li>Promoting sustainable water use practices</li>
<li>Continuing to support research into climate change impacts</li>
<li>Increasing green spaces</li>
<li>Promoting energy efficiency in urban areas.</li>
</ul>","","Japan","JPN","Water;Urban;Transportation;LULUCF;Energy;Residential and Commercial","","Adaptation, Disaster Risk Management","Plan","","","published"
"8785","","Ministry of Agriculture, Forestry and Fisheries Climate Change Adaptation Plan","executive","The Japanese government's plan for addressing climate change adaptation in the agriculture, forestry, and fisheries sectors outlines the overarching principles that should be applied to adaptation in these sectors, as well as the risks each sector faces from climate change.
It describes the current and future measures the government plans to implement to adapt each sector to the impacts of climate change. These include:
<ul>
<li>Continue supporting research into the impacts of climate change</li>
<li>Support the development of heat- and disease-resistant plant varieties, including wheat, shiitake, and seaweed</li>
<li>Support sustainable soil and water management, supporting and educating farmers about crop rotation and management and disaster prevention</li>
<li>Establish a pest monitoring and forecasting system, promoting afforestation and conservation of wetlands</li>
<li>Establish more protected forests and biodiversity corridors</li>
<li>Promote sustainable fish and livestock rearing techniques</li>
<li>Construct shoreline defenses to protect against sea-level rise and flooding.</li>
</ul>","","Japan","JPN","Environment;Water;LULUCF;Energy;Coastal zones;Agriculture","","Adaptation, Disaster Risk Management","Plan","","","published"
"8783","","Building Energy Efficiency Disclosure Act 2010","legislative","This law establishes a national scheme to require the disclosure of information about the energy efficiency of large commercial office buildings at the point of sale, lease, and sublease in the form of a building energy efficiency certificate.","","Australia","AUS","Energy;Residential and Commercial","","","Law","Energy Demand, Buildings","","published"
"8781","","Australian Renewable Energy Agency Act 2011","legislative","This law establishes the Australian Renewable Energy Agency to provide funding for research and development renewable energy technologies, collect, analyze, and disseminate information, advise the government on renewable energy policies, and liaise with state and territory governments to facilitate renewable energy projects.","","Australia","AUS","Energy","","","Law","Energy Supply, Institutions / Administrative Arrangements","","published"
"8779","","The Reef 2050 Plan","executive","This document describes government's overarching plan to protect the Great Barrier Reef from the impacts of climate change. It was updated and expanded in 2018.

Among its core functions are:
<ul style=""list-style-type: disc;"">
<li>Creating an Independent Expert Panel and Reef Advisory Committee to evaluate health of Great Barrier Reef and advise the government</li>
<li>Supporting scientific research on climate change impact on the reef</li>
<li>Setting quantitative targets for improving water quality around the Great Barrier Reef</li>
<li>Creating the Clean Energy Finance Corporation Reef Funding Program to make funds available for financing projects that implement the plan's goal</li>
<li>Supporting indigenous peoples in managing the Great Barrier Reef</li>
<li>Controlling and reducing pollution, as well as conserving and restoring the Great Barrier Reef</li>
<li>Promoting capacity building and cooperation among government</li>
<li>Supporting education and awareness raising of the importance of the Great Barrier Reef among Australians</li>
</ul>","","Australia","AUS","Water;Health;Residential and Commercial","","Adaptation","Plan","","","published"
"8773","","Climate Solutions Package","executive","In 2019, the Australian government announced the Climate Solutions Package, an AUD 3.5 billion investment to deliver on Australia's 2030 Paris climate commitments.which consolidated a number of existing government programs and policies, and initiated a several new ones. New initiatives include, among others:
<ul style=""list-style-type: disc;"">
<li>An AUD 2 billion Climate Solutions Fund, which continues and expands the focus of the government's existing Emissions Reductions Fund.</li>
<li>The 'Energy Efficient Communities' programme, aimed to improve energy efficiency standards and labeling, increasing energy efficiency of homes, businesses, and communities.</li>
<li>Emhanced investment in pumped storage solutions, e,g. Snowy 2.0 and Snowy 2.0 and 'Battery of the Nation'.</li>
<li>Mandating the creation of a National Strategy for Electric Vehicles</li>
<li>Support to local communities</li>
</ul>","","Australia","AUS","Transportation;Energy","","","Policy","Energy Supply, Institutions / Administrative Arrangements, Energy Demand, Industry","","published"
"8736","","Climate Change Adaptation Act","legislative","This Act aims at enhancing adaptation efforts in Japan. It enshrines into law the 2015 National Adaptation Plan and sets updated obligations. It charges authorities to take effective measures in various fields based on ""reliable scientific information"". It further promotes international cooperation and the involvement of private entities in adaptation efforts.

Climate change impact assessments will have to be published every five years by the Ministry for the Environment. Municipalities should establish local climate change adaptation plans.

The Act will enter into force in December 2018.","","Japan","JPN","","Adaptation","Adaptation","Act","","","published"
"8731","","Law 7/2017 promoting the use of energy from renewable resources","legislative","This law notably aims to increase the use of energy from renewable sources, to reduce imports of fossil fuels and related greenhouse gas emissions, and to promote the development of the renewable electricity market and its regional integration. It further seeks to improve the supply of rural and isolated areas.

The document establishes 1) the legislative framework for the promotion of use of energy produced from renewable sources, 2) the binding national objectives for the contribution of energy from renewable energy sources in gross final energy consumption, 3) the rules for supporting the energy produced from renewable sources, 4) the obligation for transparency of information, 5) rules for access and operation of the grids for renewable energy sources and connection to the electric energy grid, and 6) the rules for issuing, transferring and cancelation of Guarantees of Origin for the energy produced from renewable sources.

This law replaces law 138/2013.","","Albania","ALB","Energy","","","Law","Energy Supply, Energy Demand","","published"
"8729","","National Strategy of Energy","executive","This document sets Albania's energy strategy and an action plan. It seeks to provide the country with an sufficient and adequate energy supply.

The strategy notably seeks to reduce the environmental impacts of the energy sector, including greenhouse gases emissions. Solar, wind, biomass and small hydro are resources that should be exploited in priority.","","Albania","ALB","Energy","","","Strategy","Energy Supply","","published"
"8730","","Law 138/2013 on renewable sources of energy","legislative","This law aims at fostering the development of renewable energy sources through economic and regulatory incentives. It promotes innovation and new technologies for the production of electricity and heat from renewable energy sources. It seeks to reduce imports of organic fuels and reduce greenhouse gases emissions.
<div class=""page"" title=""Page 1"">
<div class=""layoutArea"">
<div class=""column"">

The law also transposes Directive 2009/28/EC. It was repealed by law 7/2017.

</div>
</div>
</div>","","Albania","ALB","Energy","","","Law","Energy Supply","","published"
"8716","","Comprehensive management plan for climate change in the energy mining sector","executive","This Plan was adopted by the ministerial Resolution no 4 0807. The <a href=""https://www.minminas.gov.co/documents/10180//23517//15333066739365700Presentación+PIGCCME.pdf"">Plan</a> aims at reducing vulnerability to climate change and promoting low carbon development at sector level, strengthening and protecting the sustainability and competitiveness of the industry.

The Plan seeks in particular at reducing GHG emissions in the sector, and sets specific targets in that direction, including regarding flaring emissions. It also analyses how to incorporate adaptation and disaster risk management within the mining decision-making structure. Improving governance is a key aspect of the plan, notably through monitoring, reporting, coordination, financing cooperation and knowledge management. The document also calls for low-carbon cooperation across with the transport sector, and for a compensation system to remunerate actors engaging in mitigation activities.","","Colombia","COL","Transportation;Industry;Energy","","Mitigation, Adaptation, Disaster Risk Management","Plan","Transportation, Energy Supply","","published"
"8711","","Green Growth Policy","executive","This policy document seeks to enable Colombia to benefit from the supply of natural capital for the production of environmental goods and services to generate a green, low-carbon growth. It establishes that in order to maintain and increase the rate of economic growth that the country needs, and thus address social problems, in terms of poverty, inequality and peace building, the search for new sources of information is required. This policy recognizes that current economic development will be unsustainable in the long term.<br />
<br />
THE document contains the Green Growth Policy for the country, which consists of five strategic axes. One of its main objective is to boost to 2030 the increase of the productivity and the economic competitiveness of the country, while ensuring the sustainable use of natural capital and social inclusion, in a manner compatible with the climate.<br />
<br />
The policy will be implemented during a time horizon of 13 years (2018-2030) and includes specific actions of intersectoral nature.","","Colombia","COL","Transportation;Social development;LULUCF;Residential and Commercial","","Adaptation","Policy","Redd+ And Lulucf, Energy Supply, Energy Demand","","published"
"8700","","Planning and Building Regulations 2016","executive","This document replaces the Planning and Construction Regulations 1970. It notably regulates solar water heaters for all residential buildings.","","Israel","ISR","Water;Energy;Residential and Commercial","","","Out Of Date","Energy Demand","","published"
"8691","","National Transport Plan 2018-2029 (Meld. St. 33 2016-2017)","executive","This document sets the government's National Transport Plan for the period 2018-2029. It notably deals with the sectoral emissions reductions targets, discussing higher rates of biofuels, technology improvements, transport-related infrastructure and urbanism, public transport and other active modes.","","Norway","NOR","Urban;Transportation","","Mitigation","Plan","Transportation","","published"
"8688","","CO2 Tax Act no 21 on Petroleum Activities","legislative","This Act introduces a CO2 tax to be paid on the burning of petroleum and discharge of natural gas in connection with petroleum activities on the continental shelf. These emissions are further regulated by the Petroleum Act, the Sales Tax Act, the Greenhouse Gas Emission Trading Act and the Pollution Control Act.","","Norway","NOR","","","","Act","Carbon Pricing","","published"
"8687","","Pollution Control Act","legislative","The Pollution Control Act targets pollution in a general way, prohibiting it in any way unless a specific permission has been issued. Pollutants taken into consideration include greenhouse gases. Under this law, industrial actors must therefore seek permits to emit greenhouse gases.","","Norway","NOR","Industry","","","Act","Carbon Pricing, Institutions / Administrative Arrangements","","published"
"8686","","Better growth, lower emissions Strategy","executive","This strategy aims at enabling Norway' private sector to be competitive and environmentally friendly, and enable the country to enjoy full employment, high income and low greenhouse gases emissions. The strategy focuses on green markets (including emissions trading and taxation), green and innovative procurement, research, energy infrastructure, climate risk, circular economy and exports of green solutions.","","Norway","NOR","Energy;Economy-wide","","Mitigation","Strategy","Transportation, Carbon Pricing, Energy Supply, Energy Demand","","published"
"8675","","Forest Law of the People's Republic of China","legislative","This law aims at protecting, cultivating and rationally exploiting forest resources, accelerating territorial afforestation and making use of forests in water storage and soil conservation, climate regulation, environmental improvement and supply of forest products to meet the requirements of socialist construction and people's livelihood.<br />
<br />
Chapter IV focuses on tree planting and afforestation efforts. It notably charges the local governments to determine adequate levels of forest coverage based on local conditions.","","China","CHN","Water;LULUCF","","","Law","Redd+ And Lulucf","","published"
"8650","","Act on the Improvement of Energy Consumption Performance of Buildings","legislative","This Act provides for 1) regulatory measures for mandatory compliance with energy efficiency standards for large-scale non-residential buildings, and 2) incentive measures such as a labeling system displaying compliance with energy efficiency standards and exception of floor-area ratio regulation for certified building. The incentive measures were implemented on April 1, 2016, and regulatory measures on April 1, 2017. The Act further details the standards and the labelling system for energy efficiency.","","Japan","JPN","Energy;Residential and Commercial","","","Law","Energy Demand","","published"
"8649","","Act on Promoting Generation of Electricity from Renewable Energy Sources Harmonized with Sound Development of Agriculture, Forestry and Fisheries","legislative","This Act aims at 'rejuvenating rural areas' bypromoting there the generation of electricity from renewable energy sources harmonized with the sound development of agriculture, forestry, and fisheries. The competent minister is to issue a « basic policy » to translate the Act into facts.","","Japan","JPN","LULUCF;Energy;Agriculture","","","Law","Redd+ And Lulucf, Energy Supply","","published"
